Junctions	ADRENALGLAND_BEMD	BLOOD_BEGL	BRAIN_BEGL	CEREBELLUM_BESH	CEREBELLUM_GSMD	CORTEX_BESH	GUTCOLON_BEMD	H01_GRET	H01_LABR	H06_PODL	HAIRFOLLICULE_LABR	HEART_BEGL	JEJUNUM_LABR	KERATINOCYTE_BEGL	KIDNEY_BEGL	LIVER_BEGL	LUNG_BEGL	MAMMARYGLAND_GSMD	MUSCLE_BEGL	NOSE01_LABR	NOSE02_LABR	NOSE03_LABR	OLFBULB_GSMD	OVARY_BEGL	PANCREAS_BESH	RETINA_BOCL	SKIN_BEGL	SKIN_GSMD	SPINALCORD_GSMD	SPLEEN_BESH	TESTIS_BEGL	THYMUS_SLKI
CGACAFTENSMUST00000204189JUNC00003	0	0	0	0	0	0	2	2	0	0	0	0	0	0	1	0	1	0	1	4	4	2	0	0	0	1	0	1	1	0	0	2
CGACAFTENSMUST00000204189JUNC00004	357	79	91	445	354	212	280	303	181	217	510	19	159	166	41	28	110	245	15	538	443	665	84	162	25	259	218	189	138	271	66	375
CGACAFTENSMUST00000112825JUNC00008	7	0	0	0	1	0	1	1	0	0	0	2	0	2	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	2	0
CGACAFTENSMUST00000112825JUNC00009	2	0	1	0	3	0	1	2	0	0	1	8	0	5	0	0	3	0	0	3	0	0	0	0	0	2	0	0	0	2	3	0
CGACAFTENSMUST00000112825JUNC00010	0	0	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000112825JUNC00011	13	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000117492JUNC00012	20	15	22	25	25	14	27	13	14	11	20	2	11	28	28	6	15	28	3	49	23	30	26	12	5	15	9	32	27	20	6	47
CGACAFTENSMUST00000026507JUNC00013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000413844JUNC00014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
CGACAFTENSMUST00000102673JUNC00015	11	1	0	2	0	1	3	3	7	4	9	0	3	2	0	0	2	6	0	7	11	26	0	2	0	1	10	1	3	4	2	2
CGACAFTENST00000334239JUNC00017	0	0	86	43	29	46	2	1	4	1	7	2	0	3	38	0	1	8	0	17	12	29	72	0	0	4	3	16	60	0	29	1
CGACAFTENST00000334239JUNC00018	2	0	111	54	57	98	2	2	7	0	15	0	1	20	46	0	0	14	1	18	25	24	176	5	1	15	29	50	232	1	6	2
CGACAFTENST00000420682JUNC00019	1	0	126	82	61	129	0	0	2	1	2	12	0	8	48	0	1	5	1	10	10	9	177	5	0	3	3	7	167	1	11	0
CGACAFTENST00000415613JUNC00020	0	0	13	6	11	9	0	0	11	0	0	42	0	1	0	0	0	0	88	0	0	0	0	0	0	0	1	0	7	0	0	0
CGACAFTENST00000534121JUNC00025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000103124JUNC00029	174	0	94	42	35	74	1	1	2	2	14	0	0	1	6	0	0	1	0	0	3	3	39	8	0	4	21	1	32	0	0	1
CGACAFTENSMUST00000103124JUNC00030	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000394797JUNC00031	3	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	3	0	2	1	0	3	2	0	4	6	3	2	2	1	0
CGACAFTENST00000372042JUNC00032	68	0	18	8	5	3	10	14	6	18	6	0	0	0	0	0	2	25	5	13	0	5	16	95	0	30	59	33	21	25	11	10
CGACAFTENST00000482160JUNC00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000063029JUNC00034	35	0	8	5	1	12	11	11	1	10	2	1	1	0	1	0	3	21	1	6	1	4	9	46	1	12	49	10	6	14	4	3
CGACAFTENST00000532059JUNC00037	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0
CGACAFTENSMUST00000097216JUNC00038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000167525JUNC00039	1	0	12	15	7	12	7	4	5	0	3	2	2	1	2	1	5	0	0	15	3	10	1	5	0	3	5	0	14	2	7	0
CGACAFTENSMUST00000167525JUNC00040	134	17	608	415	255	608	89	125	210	82	166	87	96	286	200	29	64	145	41	374	233	361	381	98	20	132	181	145	522	88	383	70
CGACAFTENST00000471234JUNC00041	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0
CGACAFTENST00000440381JUNC00042	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENSMUST00000092512JUNC00043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGACAFTENST00000558662JUNC00048	6	0	6	6	2	5	0	8	4	8	12	2	3	5	3	0	2	1	0	10	9	14	0	5	3	5	2	4	8	4	16	12
CGACAFTENST00000524238JUNC00049	2	0	1	1	0	1	0	5	1	1	5	0	0	0	0	0	0	0	0	6	0	3	0	0	0	1	0	0	0	2	0	0
CGACAFTENSMUST00000108049JUNC00051	0	0	22	4	1	5	0	2	4	0	1	1	2	0	0	0	3	1	0	3	2	11	4	6	0	0	1	0	2	4	0	4
CGACAFTENST00000395169JUNC00052	0	0	8	2	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	5	0	0	0
