Junctions	ADRENALGLAND1	ADRENALGLAND2	COLON1	COLON2	CORTEX1	CORTEX2	DUODENUM1	DUODENUM2	ESOPHAGUS1	ESOPHAGUS2	HEART1	HEART2	KIDNEY1	KIDNEY2	LIVER1	LIVER2	LUNG1	LUNG2	OVARY1	OVARY2	PANCREAS1	PANCREAS2	SKIN1	SKIN2	SPLEEN_1	SPLEEN_2	STOMACH1	STOMACH2	TESTIS1	TESTIS2	THYROIDGLAND1	THYROIDGLAND2
CGATENSCAFT00000009206JUNC00001	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CGATENSCAFT00000009206JUNC00002	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000079978JUNC00005	0	0	4	2	2	5	2	1	2	0	2	0	5	3	1	0	11	7	1	1	0	0	0	1	2	1	4	2	1	1	3	1
CGATENSMUST00000163653JUNC00006	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGATENSMUST00000163653JUNC00007	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	1	0	0	1	0	0	0	0	0	0
CGATENSMUST00000163653JUNC00008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000028951JUNC00009	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CGATENSMUST00000198322JUNC00014	1	3	9	9	21	17	3	0	11	6	11	6	12	9	4	4	16	22	16	14	1	1	14	11	15	19	12	12	9	10	9	9
CGATENSCAFT00000000809JUNC00017	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	2	2	0	0	0	0	3	2	1	0	0	0	0	0	0	0
CGATENSMUST00000077735JUNC00020	2	1	0	0	25	25	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	1	0	0	2	6	7	3	12	12	0	0
CGATENSMUST00000109854JUNC00021	0	0	0	0	5	5	0	1	1	2	1	2	1	1	0	0	5	2	6	7	0	0	0	0	0	0	1	1	0	0	0	0
CGATENSMUST00000114151JUNC00023	0	0	0	0	0	0	0	0	2	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000114151JUNC00024	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0
CGATENSMUST00000099569JUNC00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000037901JUNC00028	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0
CGATENSCAFT00000049433JUNC00029	0	0	0	0	1	1	0	0	0	1	0	1	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0
CGATENSCAFT00000049433JUNC00031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
CGATENSCAFT00000050068JUNC00032	0	1	2	1	3	3	3	1	2	0	2	0	1	1	0	0	4	1	0	0	0	0	1	0	0	0	2	5	2	4	0	0
CGATENSCAFT00000019439JUNC00034	0	0	2	1	2	1	0	0	1	0	1	0	0	0	2	1	1	0	0	0	0	0	4	1	0	0	2	0	0	0	1	0
CGATENSMUST00000169129JUNC00035	0	0	0	0	3	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	2
CGATENSMUST00000106612JUNC00036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGATENSCAFT00000043690JUNC00037	0	0	0	0	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGATENSCAFT00000043690JUNC00038	0	0	0	0	0	0	0	0	4	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGATENSMUST00000163352JUNC00039	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGATENSMUST00000106137JUNC00040	0	0	0	0	23	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
