Junctions	Brain_13	Brain_26	Brain_39	Colon_20	Colon_33	Colon_7	Duodenum_17	Duodenum_30	Duodenum_4	Esophagus_12	Esophagus_25	Esophagus_38	Heart_24	Heart_37	Ileum_19	Ileum_32	Ileum_6	Jejunum_18	Jejunum_31	Jejunum_5	Kidney_21	Kidney_34	Kidney_8	Liver_15	Liver_28	Liver_2	Muscle_22	Muscle_35	Muscle_9	Pancreas_14	Pancreas_1	Pancreas_27	Stomach_16	Stomach_29	Stomach_3	Thymus_10	Thymus_23	Thymus_36
CGAMUSTENST00000262102JUNC00001	0	0	0	3	3	0	3	0	0	1	1	5	3	3	3	1	2	2	0	0	2	4	3	4	0	0	0	7	4	0	0	0	2	4	2	0	1	0
CGAMUSTENST00000262102JUNC00002	0	0	0	2	3	9	8	2	4	1	1	4	0	3	5	1	1	0	2	2	1	8	7	8	0	0	7	8	1	0	0	0	4	3	0	0	0	1
CGAMUSTENST00000634613JUNC00003	0	0	0	2	1	3	6	12	8	3	2	13	4	7	2	4	8	4	11	17	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0
CGAMUSTENST00000308482JUNC00005	0	0	0	0	0	0	0	0	0	1	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000244815JUNC00007	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000379873JUNC00010	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	3	0
CGAMUSTENST00000359675JUNC00024	4	9	9	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	2
CGAMUSTENST00000340394JUNC00025	47	50	36	10	38	48	28	17	26	26	20	38	15	7	12	1	35	32	30	21	10	20	7	6	0	0	10	6	3	1	3	0	27	16	15	75	57	69
CGAMUSTENST00000325215JUNC00026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CGAMUSTENST00000395547JUNC00027	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2
CGAMUSTENST00000382686JUNC00028	0	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
CGAMUSTENST00000564304JUNC00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
CGAMUSTENST00000441825JUNC00036	4	4	5	0	1	0	1	0	0	4	4	4	16	23	1	0	0	2	0	0	0	0	0	0	0	0	12	10	8	0	0	0	0	0	2	0	0	0
CGAMUSTENST00000626909JUNC00037	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000436198JUNC00038	9	7	12	0	4	0	0	1	0	3	6	1	24	24	1	2	0	4	1	0	0	0	0	0	0	0	12	14	14	0	0	0	0	0	0	0	0	1
CGAMUSTENST00000415585JUNC00039	23	24	17	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2
CGAMUSTENST00000415585JUNC00040	3	7	1	0	2	1	1	1	0	0	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1
CGAMUSTENSCAFT00000018789JUNC00041	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000018789JUNC00042	0	1	1	1	0	1	2	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0
CGAMUSTENST00000371435JUNC00043	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000520267JUNC00047	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000520133JUNC00050	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGAMUSTENST00000394503JUNC00055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000395848JUNC00056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000020558JUNC00058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000020558JUNC00059	0	0	0	1	1	1	2	0	0	26	14	11	63	79	0	0	0	2	0	0	1	1	0	0	0	0	40	22	41	0	0	0	1	1	0	0	0	0
CGAMUSTENST00000534300JUNC00063	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CGAMUSTENST00000376208JUNC00066	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000049496JUNC00067	3	3	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
CGAMUSTENST00000433861JUNC00068	0	0	0	1	1	0	2	0	0	0	2	0	0	0	1	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3
CGAMUSTENSCAFT00000010383JUNC00075	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CGAMUSTENST00000633077JUNC00079	17	8	14	1	1	0	0	0	0	3	4	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	10	11	12	0	0	0	1	0	0	3	0	1
CGAMUSTENST00000340169JUNC00088	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000370253JUNC00090	6	5	6	3	3	1	1	2	6	0	1	3	2	8	1	1	7	1	2	1	0	3	3	2	0	0	5	3	2	0	0	0	0	1	1	0	0	1
CGAMUSTENST00000428026JUNC00094	3	0	4	1	1	0	0	0	0	2	2	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
CGAMUSTENST00000460170JUNC00095	13	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000460170JUNC00096	9	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000265741JUNC00104	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000630269JUNC00106	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1
CGAMUSTENST00000505279JUNC00111	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000505279JUNC00112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000548033JUNC00113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	1
CGAMUSTENST00000394023JUNC00117	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000463665JUNC00121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CGAMUSTENST00000392502JUNC00124	1	4	2	2	0	2	1	0	0	1	1	1	0	0	4	4	3	2	3	2	2	2	1	1	0	1	0	0	1	1	0	0	2	2	0	4	2	0
CGAMUSTENSCAFT00000043203JUNC00125	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000043203JUNC00126	0	0	0	0	0	0	0	0	0	2	3	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	2	2	4	0	0	0	0	0	0	0	0	0
CGAMUSTENSCAFT00000043203JUNC00127	22	21	22	0	6	4	3	2	6	22	23	14	3	16	1	0	4	1	3	1	4	11	4	0	1	0	4	10	5	0	0	0	5	1	4	4	4	5
