junctions_mm	sum_mm	junctions_hs	sum_hs	junctions_clf	sum_clf
CGAMUSTENST00000394503JUNC00002	1	CGATENSMUST00000076043JUNC00002	6	CGACAFTENST00000532059JUNC00001	7
CGAMUSTENST00000292476JUNC00003	38	CGATENSMUST00000005072JUNC00006	5	CGACAFTENST00000297620JUNC00002	653
CGAMUSTENST00000533727JUNC00004	76	CGATENSMUST00000069949JUNC00007	62	CGACAFTENSMUST00000108049JUNC00003	83
CGAMUSTENST00000534300JUNC00005	4	CGATENSMUST00000088419JUNC00008	74	CGACAFTENST00000636071JUNC00005	14
CGAMUSTENST00000370253JUNC00007	81	CGATENSMUST00000088419JUNC00009	101	CGACAFTENST00000636071JUNC00006	2
CGAMUSTENST00000630269JUNC00008	8	CGATENSMUST00000088419JUNC00010	217	CGACAFTENST00000371714JUNC00007	2119
CGAMUSTENST00000393441JUNC00011	16	CGATENSMUST00000026416JUNC00011	2	CGACAFTENST00000447887JUNC00008	170
CGAMUSTENST00000356896JUNC00012	158	CGATENSMUST00000026416JUNC00012	3	CGACAFTENST00000447887JUNC00009	167
CGAMUSTENST00000614484JUNC00014	103	CGATENSMUST00000060095JUNC00014	143	CGACAFTENST00000453295JUNC00010	112
CGAMUSTENST00000446597JUNC00017	110	CGATENSMUST00000060095JUNC00015	207	CGACAFTENST00000361556JUNC00011	1461
CGAMUSTENST00000446597JUNC00018	107	CGATENSMUST00000060095JUNC00016	225	CGACAFTENSMUST00000172057JUNC00014	542
CGAMUSTENST00000536386JUNC00019	10	CGATENSMUST00000096766JUNC00018	35	CGACAFTENSMUST00000172057JUNC00015	644
CGAMUSTENST00000536386JUNC00020	39	CGATENSMUST00000096766JUNC00019	43	CGACAFTENST00000438665JUNC00016	870
CGAMUSTENST00000545552JUNC00021	17	CGATENSMUST00000199243JUNC00022	3	CGACAFTENST00000221222JUNC00017	1
CGAMUSTENST00000545552JUNC00022	21	CGATENSMUST00000090927JUNC00023	248	CGACAFTENSMUST00000140212JUNC00019	41
CGAMUSTENST00000515395JUNC00026	82	CGATENSMUST00000111291JUNC00025	12	CGACAFTENST00000378092JUNC00020	778
CGAMUSTENST00000618438JUNC00028	117	CGATENSMUST00000111292JUNC00026	1	CGACAFTENST00000378083JUNC00021	7
CGAMUSTENST00000539015JUNC00029	35	CGATENSMUST00000113620JUNC00030	44	CGACAFTENST00000378083JUNC00022	44
CGAMUSTENST00000528062JUNC00031	1	CGATENSMUST00000042503JUNC00031	4	CGACAFTENST00000378083JUNC00023	34
CGAMUSTENST00000442977JUNC00032	5	CGATENSMUST00000118442JUNC00032	18	CGACAFTENSMUST00000074046JUNC00025	90
CGAMUSTENST00000297447JUNC00033	35	CGATENSMUST00000118442JUNC00033	17	CGACAFTENSMUST00000074046JUNC00026	75
CGAMUSTENST00000360929JUNC00034	1	CGATENSMUST00000119385JUNC00034	91	CGACAFTENST00000262494JUNC00027	1713
CGAMUSTENST00000248933JUNC00036	35	CGATENSMUST00000084170JUNC00036	2	CGACAFTENST00000262494JUNC00028	1149
CGAMUSTENST00000508530JUNC00041	70	CGATENSMUST00000114859JUNC00037	7	CGACAFTENST00000452722JUNC00029	442
CGAMUSTENST00000397601JUNC00042	544	CGATENSMUST00000113190JUNC00040	4	CGACAFTENST00000542447JUNC00030	164
CGAMUSTENST00000397601JUNC00043	609	CGATENSMUST00000113190JUNC00041	3	CGACAFTENST00000536727JUNC00031	200
CGAMUSTENST00000376673JUNC00044	7	CGATENSMUST00000066824JUNC00042	4	CGACAFTENST00000373063JUNC00032	355
CGAMUSTENSCAFT00000022682JUNC00045	126	CGATENSMUST00000072481JUNC00043	29	CGACAFTENST00000373057JUNC00033	7
CGAMUSTENST00000373057JUNC00047	26	CGATENSCAFT00000044406JUNC00046	88	CGACAFTENST00000373057JUNC00034	317
CGAMUSTENST00000354667JUNC00049	1253	CGATENSMUST00000207225JUNC00047	773	CGACAFTENST00000309703JUNC00035	244
CGAMUSTENST00000354667JUNC00050	1148	CGATENSMUST00000108049JUNC00048	6	CGACAFTENST00000323180JUNC00036	221
CGAMUSTENST00000344626JUNC00051	48	CGATENSMUST00000074046JUNC00049	7	CGACAFTENST00000323180JUNC00037	168
CGAMUSTENST00000344626JUNC00052	46	CGATENSMUST00000074046JUNC00050	2	CGACAFTENST00000418153JUNC00038	133
CGAMUSTENST00000361452JUNC00053	58	CGATENSMUST00000078800JUNC00052	44	CGACAFTENSMUST00000111291JUNC00039	23
CGAMUSTENST00000334961JUNC00054	2	CGATENSMUST00000159063JUNC00053	32	CGACAFTENSMUST00000111292JUNC00040	22
CGAMUSTENST00000378166JUNC00059	45	CGATENSMUST00000174282JUNC00054	100	CGACAFTENST00000361168JUNC00042	599
CGAMUSTENST00000378166JUNC00060	42	CGATENSCAFT00000022782JUNC00055	10	CGACAFTENSMUST00000090927JUNC00043	734
CGAMUSTENST00000378166JUNC00061	30	CGATENSCAFT00000022782JUNC00056	180	CGACAFTENST00000378520JUNC00044	2
CGAMUSTENST00000368406JUNC00062	3	CGATENSMUST00000077182JUNC00057	9	CGACAFTENST00000380138JUNC00046	166
CGAMUSTENSCAFT00000031036JUNC00063	2	CGATENSMUST00000164290JUNC00058	3	CGACAFTENST00000345429JUNC00047	988
CGAMUSTENST00000378083JUNC00064	3	CGATENSMUST00000075387JUNC00060	23	CGACAFTENST00000376673JUNC00048	35
CGAMUSTENST00000378083JUNC00065	4	CGATENSMUST00000197425JUNC00061	10	CGACAFTENSMUST00000088419JUNC00049	345
CGAMUSTENST00000378083JUNC00066	35	CGATENSMUST00000208446JUNC00062	922	CGACAFTENSMUST00000088419JUNC00050	399
CGAMUSTENST00000328159JUNC00068	228	CGATENSMUST00000079754JUNC00063	6	CGACAFTENSMUST00000088419JUNC00051	622
CGAMUSTENST00000328159JUNC00069	151	CGATENSMUST00000079754JUNC00064	3	CGACAFTENST00000378735JUNC00052	85
CGAMUSTENST00000368530JUNC00070	77	CGATENSCAFT00000027630JUNC00065	89	CGACAFTENST00000394829JUNC00054	2155
