sum	species
905	hs
784	hs
934	hs
892	hs
880	hs
602	hs
692	hs
713	hs
9	hs
69	hs
847	hs
704	hs
1268	hs
1155	hs
1206	hs
1152	hs
1396	hs
690	hs
316	hs
314	hs
340	hs
350	hs
323	hs
312	hs
347	hs
388	hs
375	hs
359	hs
289	hs
372	hs
143	hs
260	hs
432	hs
484	hs
444	hs
571	hs
198	hs
54	hs
1086	hs
1292	hs
1123	hs
1281	hs
1462	hs
1333	hs
1321	hs
1137	hs
1228	hs
1125	hs
1306	hs
1727	hs
1221	hs
1803	hs
1973	hs
1346	hs
1224	hs
1411	hs
1468	hs
1782	hs
1721	hs
1595	hs
1346	hs
1317	hs
1530	hs
1586	hs
1932	hs
1989	hs
1972	hs
2028	hs
228	hs
263	hs
331	hs
777	hs
523	hs
711	hs
865	hs
479	hs
1021	hs
1193	hs
581	hs
200	hs
145	hs
276	hs
447	hs
441	hs
609	hs
481	hs
570	hs
621	hs
902	hs
625	hs
326	hs
260	hs
1221	hs
1791	hs
1914	hs
547	hs
393	hs
375	hs
538	hs
473	hs
3657	hs
6778	hs
8776	hs
4032	hs
2293	hs
194	hs
2263	hs
3358	hs
4419	hs
4733	hs
5318	hs
2313	hs
1932	hs
3037	hs
500	hs
365	hs
410	hs
369	hs
296	hs
317	hs
410	hs
367	hs
398	hs
337	hs
304	hs
316	hs
372	hs
360	hs
515	hs
449	hs
330	hs
475	hs
76	hs
97	hs
409	hs
504	hs
507	hs
411	hs
438	hs
529	hs
462	hs
686	hs
721	hs
59	hs
1118	hs
1554	hs
2448	hs
2308	hs
6	hs
3745	hs
3939	hs
3064	hs
3313	hs
3546	hs
3948	hs
4049	hs
153	hs
1082	hs
1252	hs
1346	hs
1012	hs
1367	hs
996	hs
1066	hs
124	hs
261	hs
446	hs
523	hs
653	hs
564	hs
414	hs
399	hs
550	hs
464	hs
622	hs
481	hs
527	hs
478	hs
574	hs
3	hs
829	hs
1410	hs
1418	hs
2638	hs
1587	hs
2515	hs
2610	hs
2610	hs
2447	hs
2723	hs
2282	hs
438	hs
263	hs
433	hs
73	hs
237	hs
469	hs
594	hs
807	hs
930	hs
675	hs
743	hs
740	hs
729	hs
737	hs
795	hs
841	hs
739	hs
819	hs
749	hs
804	hs
835	hs
952	hs
865	hs
861	hs
766	hs
111	hs
120	hs
616	hs
495	hs
566	hs
1155	hs
1289	hs
821	hs
662	hs
690	hs
183	hs
359	hs
1027	hs
1359	hs
1351	hs
1832	hs
1498	hs
1624	hs
1694	hs
1794	hs
1928	hs
2345	hs
299	hs
287	hs
416	hs
337	hs
286	hs
319	hs
391	hs
302	hs
356	hs
255	hs
488	hs
900	hs
862	hs
867	hs
787	hs
1166	hs
970	hs
642	hs
1180	hs
932	hs
1030	hs
616	hs
538	hs
848	hs
870	hs
998	hs
179	hs
1810	hs
1673	hs
1933	hs
237	hs
2325	hs
2338	hs
