"Junctions"	"ADRENALGLAND1"	"ADRENALGLAND2"	"COLON1"	"COLON2"	"CORTEX1"	"CORTEX2"	"DUODENUM1"	"DUODENUM2"	"ESOPHAGUS1"	"ESOPHAGUS2"	"HEART1"	"HEART2"	"KIDNEY1"	"KIDNEY2"	"LIVER1"	"LIVER2"	"LUNG1"	"LUNG2"	"OVARY1"	"OVARY2"	"PANCREAS1"	"PANCREAS2"	"SKIN1"	"SKIN2"	"SPLEEN_1"	"SPLEEN_2"	"STOMACH1"	"STOMACH2"	"TESTIS1"	"TESTIS2"	"THYROIDGLAND1"	"THYROIDGLAND2"	"sum"
"1"	"ENST00000621999JUNC00001"	7	7	41	42	81	112	11	14	21	16	21	16	37	38	14	13	39	38	26	29	5	8	9	11	35	31	45	46	7	5	47	33	905
"2"	"ENST00000621999JUNC00002"	6	12	40	35	79	77	6	7	13	6	13	6	37	38	7	10	33	34	30	34	3	5	8	8	27	32	44	51	11	13	33	26	784
"3"	"ENST00000621999JUNC00003"	9	7	36	38	90	84	8	10	25	21	25	21	31	28	15	11	43	33	37	39	5	5	10	9	22	27	53	57	15	17	46	57	934
"4"	"ENST00000621999JUNC00004"	12	9	35	38	84	76	12	8	20	15	20	15	27	26	11	10	37	27	33	22	7	4	10	13	35	27	55	62	16	16	59	51	892
"5"	"ENST00000621999JUNC00005"	13	10	30	27	73	76	12	9	24	22	24	22	30	29	8	5	28	45	28	30	6	5	13	10	19	27	51	49	15	14	59	67	880
"6"	"ENST00000621999JUNC00006"	10	7	16	17	59	49	6	9	7	16	7	16	21	20	4	5	19	17	20	23	1	6	18	11	19	15	45	42	8	5	44	40	602
"7"	"ENST00000621999JUNC00007"	8	12	14	23	59	79	8	9	20	12	20	12	23	23	4	3	33	24	16	17	8	4	9	9	22	18	36	40	12	12	48	55	692
"8"	"ENST00000621999JUNC00008"	8	10	26	29	67	73	4	3	15	11	15	11	23	16	9	15	19	30	21	20	7	7	9	11	17	19	42	31	20	16	56	53	713
"9"	"ENST00000618166JUNC00009"	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	0	0	9
"10"	"ENST00000293872JUNC00010"	0	0	3	2	6	7	1	0	0	2	0	2	9	2	2	2	2	1	6	5	0	1	3	0	4	1	1	1	3	1	0	2	69
"11"	"ENST00000293872JUNC00011"	20	19	8	10	81	77	13	15	16	7	16	7	10	16	2	2	54	60	28	24	8	8	26	26	59	66	33	32	13	16	44	31	847
"12"	"ENST00000293872JUNC00012"	17	17	8	5	78	92	11	11	9	11	9	11	10	13	2	1	49	38	15	20	8	3	18	26	44	48	31	31	17	14	20	17	704
"13"	"ENST00000293872JUNC00013"	41	31	13	13	131	135	16	16	17	15	17	15	17	17	7	7	90	83	34	34	10	6	33	41	87	89	46	51	32	37	40	47	1268
"14"	"ENST00000293872JUNC00014"	30	24	23	17	125	133	17	17	12	10	12	10	17	14	3	8	65	86	24	31	9	7	33	47	89	84	43	38	21	29	41	36	1155
"15"	"ENST00000293872JUNC00015"	22	23	31	27	116	109	16	22	20	13	20	13	22	20	14	9	82	93	42	35	13	13	36	24	82	95	31	29	32	32	38	32	1206
"16"	"ENST00000293872JUNC00016"	23	24	28	20	118	115	22	29	7	13	7	13	25	26	8	10	84	83	33	39	6	7	26	28	83	70	42	40	33	29	34	27	1152
"17"	"ENST00000293872JUNC00017"	26	25	36	26	149	132	24	28	13	17	13	17	23	29	16	17	97	100	49	43	9	10	31	30	110	92	55	58	34	31	24	32	1396
"18"	"ENST00000293872JUNC00018"	13	13	4	12	53	60	12	11	8	6	8	6	6	10	4	1	53	53	41	34	7	9	23	11	63	69	19	30	13	12	14	12	690
"19"	"ENST00000367635JUNC00019"	1	0	12	19	1	3	6	4	8	8	8	8	5	10	8	6	5	7	14	14	1	1	4	4	34	38	18	12	22	22	6	7	316
"20"	"ENST00000367635JUNC00020"	0	2	19	12	5	1	4	3	13	9	13	9	8	8	1	6	9	4	17	13	0	1	3	2	30	30	14	9	25	29	8	7	314
"21"	"ENST00000367635JUNC00021"	0	4	20	16	6	5	5	5	11	13	11	13	11	7	5	4	7	2	12	10	0	1	11	6	40	31	15	6	25	28	6	4	340
"22"	"ENST00000367635JUNC00022"	1	1	14	15	6	5	6	4	13	15	13	15	5	8	6	5	1	6	16	17	0	0	14	7	33	47	13	21	13	14	5	11	350
"23"	"ENST00000367635JUNC00023"	5	5	23	17	2	3	6	2	10	11	10	11	6	5	5	5	1	5	13	10	0	0	10	9	31	29	14	17	17	23	8	10	323
"24"	"ENST00000367635JUNC00024"	3	0	9	12	2	2	2	2	10	14	10	14	5	3	5	4	7	6	14	16	2	1	7	8	29	34	15	15	25	22	7	7	312
"25"	"ENST00000367635JUNC00025"	1	3	14	9	5	7	0	2	15	13	15	13	7	8	10	11	4	3	14	14	1	0	4	15	32	22	11	14	29	34	9	8	347
"26"	"ENST00000367635JUNC00026"	3	1	7	13	5	7	10	11	16	9	16	9	3	11	5	5	8	7	13	20	0	1	8	9	43	39	14	15	32	28	9	11	388
"27"	"ENST00000367635JUNC00027"	1	1	7	4	3	4	6	6	15	14	15	14	6	6	9	4	8	7	17	21	0	1	11	15	31	38	7	16	37	30	13	8	375
"28"	"ENST00000367635JUNC00028"	3	3	7	5	6	1	5	5	22	9	22	9	6	6	8	8	5	2	14	15	1	3	11	8	43	46	11	14	24	21	12	4	359
"29"	"ENST00000367635JUNC00029"	2	4	9	8	3	2	7	2	13	5	13	5	7	4	7	6	4	6	22	13	0	0	6	4	29	32	15	9	20	20	6	6	289
"30"	"ENST00000367635JUNC00030"	3	5	18	8	4	9	1	5	13	20	13	20	5	7	5	6	6	3	19	14	1	1	12	12	46	40	9	14	17	17	6	13	372
"31"	"ENST00000367635JUNC00031"	1	2	5	5	0	2	0	0	8	15	8	15	4	4	2	9	1	1	3	5	0	0	9	5	6	3	7	6	1	0	8	8	143
"32"	"ENST00000367635JUNC00032"	1	2	3	9	1	1	5	5	9	12	9	12	8	8	14	13	6	3	5	6	0	0	13	13	9	15	24	17	3	5	14	15	260
"33"	"ENST00000367635JUNC00033"	2	1	23	17	8	5	4	2	12	9	12	9	11	5	8	11	11	8	13	15	2	4	15	16	56	52	15	18	18	23	19	8	432
"34"	"ENST00000367635JUNC00034"	4	5	19	13	13	9	5	1	17	12	17	12	9	8	19	9	7	10	22	16	4	1	16	14	53	46	19	13	39	30	10	12	484
"35"	"ENST00000367635JUNC00035"	2	1	12	9	3	8	7	5	15	11	15	11	7	9	5	11	8	9	18	19	4	2	14	16	62	50	19	10	24	34	10	14	444
"36"	"ENST00000367635JUNC00036"	6	2	25	23	8	11	4	4	10	11	10	11	17	14	11	5	6	9	35	29	3	1	16	18	59	67	16	24	48	44	11	13	571
"37"	"ENST00000367634JUNC00037"	0	3	10	10	3	6	0	2	4	5	4	5	0	0	1	0	1	0	15	11	0	0	0	1	38	46	1	0	18	13	0	1	198
"38"	"ENST00000359786JUNC00038"	0	0	0	3	0	0	1	1	5	1	5	1	6	5	1	0	9	7	1	3	0	0	0	0	0	0	2	3	0	0	0	0	54
"39"	"ENST00000359786JUNC00039"	2	3	61	52	2	4	21	29	34	30	34	30	52	41	11	12	129	113	26	37	16	15	14	10	57	60	54	58	6	6	34	33	1086
