"Var1"	"Freq"
"1"	"1"	3
"2"	"2"	6
"3"	"3"	7
"4"	"4"	3
"5"	"5"	3
"6"	"6"	5
"7"	"7"	3
"8"	"8"	4
"9"	"9"	2
"10"	"10"	3
"11"	"12"	1
"12"	"17"	3
"13"	"18"	1
"14"	"19"	2
"15"	"22"	1
"16"	"23"	2
"17"	"29"	1
"18"	"31"	2
"19"	"32"	1
"20"	"35"	1
"21"	"39"	1
"22"	"42"	2
"23"	"43"	1
"24"	"44"	2
"25"	"46"	1
"26"	"62"	2
"27"	"63"	1
"28"	"70"	1
"29"	"74"	1
"30"	"81"	1
"31"	"88"	1
"32"	"89"	1
"33"	"91"	1
"34"	"99"	1
"35"	"100"	1
"36"	"101"	2
"37"	"111"	1
"38"	"132"	1
"39"	"143"	1
"40"	"170"	1
"41"	"179"	1
"42"	"180"	1
"43"	"200"	1
"44"	"207"	1
"45"	"217"	1
"46"	"225"	1
"47"	"248"	1
"48"	"294"	1
"49"	"295"	1
"50"	"314"	1
"51"	"504"	1
"52"	"773"	1
"53"	"922"	1
