sp1_gene_ID,sp2_gene_ID,homology_type
ENSG00000000457,ENSMUSG00000026584,ortholog_one2one
ENSG00000001631,ENSMUSG00000000600,ortholog_one2one
ENSG00000003436,ENSMUSG00000027082,ortholog_one2one
ENSG00000004487,ENSMUSG00000036940,ortholog_one2one
ENSG00000004534,ENSMUSG00000032582,ortholog_one2one
ENSG00000004777,ENSMUSG00000036882,ortholog_one2one
ENSG00000004948,ENSMUSG00000023964,ortholog_one2one
ENSG00000005156,ENSMUSG00000020697,ortholog_one2one
ENSG00000005189,ENSMUSG00000030924,ortholog_one2one
ENSG00000005844,ENSMUSG00000030830,ortholog_one2one
ENSG00000006125,ENSMUSG00000035152,ortholog_one2one
ENSG00000007541,ENSMUSG00000025728,ortholog_one2one
ENSG00000008056,ENSMUSG00000037217,ortholog_one2one
ENSG00000008282,ENSMUSG00000020570,ortholog_one2one
ENSG00000008394,ENSMUSG00000008540,ortholog_one2one
ENSG00000009724,ENSMUSG00000028979,ortholog_one2one
ENSG00000011275,ENSMUSG00000045078,ortholog_one2one
ENSG00000011451,ENSMUSG00000024050,ortholog_one2one
ENSG00000011454,ENSMUSG00000035437,ortholog_one2one
ENSG00000013374,ENSMUSG00000028954,ortholog_one2one
ENSG00000013561,ENSMUSG00000060450,ortholog_one2one
ENSG00000021762,ENSMUSG00000037606,ortholog_one2one
ENSG00000023572,ENSMUSG00000018196,ortholog_one2one
ENSG00000024048,ENSMUSG00000023977,ortholog_one2one
ENSG00000031698,ENSMUSG00000068739,ortholog_one2one
ENSG00000034533,ENSMUSG00000032567,ortholog_one2one
ENSG00000038274,ENSMUSG00000042032,ortholog_one2one
ENSG00000038532,ENSMUSG00000068663,ortholog_one2one
ENSG00000041880,ENSMUSG00000023249,ortholog_one2one
ENSG00000042980,ENSMUSG00000014725,ortholog_one2one
ENSG00000044459,ENSMUSG00000038070,ortholog_one2one
ENSG00000047249,ENSMUSG00000033793,ortholog_one2one
ENSG00000047346,ENSMUSG00000034858,ortholog_one2one
ENSG00000049130,ENSMUSG00000019966,ortholog_one2one
ENSG00000049239,ENSMUSG00000028980,ortholog_one2one
ENSG00000049769,ENSMUSG00000039556,ortholog_one2one
ENSG00000054267,ENSMUSG00000039219,ortholog_one2one
ENSG00000054938,ENSMUSG00000030732,ortholog_one2one
ENSG00000055118,ENSMUSG00000038319,ortholog_one2one
ENSG00000055147,ENSMUSG00000020523,ortholog_one2one
ENSG00000055957,ENSMUSG00000006529,ortholog_one2one
ENSG00000057704,ENSMUSG00000020023,ortholog_one2one
ENSG00000058668,ENSMUSG00000026463,ortholog_one2one
ENSG00000059573,ENSMUSG00000025007,ortholog_one2one
ENSG00000059915,ENSMUSG00000037126,ortholog_one2one
ENSG00000060138,ENSMUSG00000030189,ortholog_one2one
ENSG00000061676,ENSMUSG00000027002,ortholog_one2one
ENSG00000062598,ENSMUSG00000017670,ortholog_one2one
ENSG00000063015,ENSMUSG00000000632,ortholog_one2one
ENSG00000063244,ENSMUSG00000030435,ortholog_one2one
ENSG00000063438,ENSMUSG00000021575,ortholog_one2one
ENSG00000064419,ENSMUSG00000012535,ortholog_one2one
ENSG00000064545,ENSMUSG00000002342,ortholog_one2one
ENSG00000064763,ENSMUSG00000030303,ortholog_one2one
ENSG00000064787,ENSMUSG00000013523,ortholog_one2one
ENSG00000065427,ENSMUSG00000031948,ortholog_one2one
ENSG00000065613,ENSMUSG00000025060,ortholog_one2one
ENSG00000065802,ENSMUSG00000026311,ortholog_one2one
ENSG00000066248,ENSMUSG00000026259,ortholog_one2one
ENSG00000066322,ENSMUSG00000006390,ortholog_one2one
ENSG00000067057,ENSMUSG00000021196,ortholog_one2one
ENSG00000067113,ENSMUSG00000021759,ortholog_one2one
ENSG00000067842,ENSMUSG00000031376,ortholog_one2one
ENSG00000068366,ENSMUSG00000031278,ortholog_one2one
ENSG00000070190,ENSMUSG00000028159,ortholog_one2one
ENSG00000070476,ENSMUSG00000034430,ortholog_one2one
ENSG00000071073,ENSMUSG00000026110,ortholog_one2one
ENSG00000071243,ENSMUSG00000029670,ortholog_one2one
ENSG00000071537,ENSMUSG00000020964,ortholog_one2one
ENSG00000071655,ENSMUSG00000035478,ortholog_one2one
ENSG00000072062,ENSMUSG00000005469,ortholog_one2one
ENSG00000072682,ENSMUSG00000018906,ortholog_one2one
ENSG00000072756,ENSMUSG00000013736,ortholog_one2one
ENSG00000072849,ENSMUSG00000018442,ortholog_one2one
ENSG00000072858,ENSMUSG00000022696,ortholog_one2one
ENSG00000073060,ENSMUSG00000037936,ortholog_one2one
ENSG00000073670,ENSMUSG00000020926,ortholog_one2one
ENSG00000074803,ENSMUSG00000027202,ortholog_one2one
ENSG00000076248,ENSMUSG00000029591,ortholog_one2one
ENSG00000078053,ENSMUSG00000021314,ortholog_one2one
ENSG00000078699,ENSMUSG00000038533,ortholog_one2one
ENSG00000078808,ENSMUSG00000029076,ortholog_one2one
ENSG00000081026,ENSMUSG00000052539,ortholog_one2one
ENSG00000081692,ENSMUSG00000036819,ortholog_one2one
ENSG00000082701,ENSMUSG00000022812,ortholog_one2one
ENSG00000083312,ENSMUSG00000009470,ortholog_one2one
ENSG00000083544,ENSMUSG00000022019,ortholog_one2one
ENSG00000085274,ENSMUSG00000037730,ortholog_one2one
ENSG00000085365,ENSMUSG00000021687,ortholog_one2one
ENSG00000085871,ENSMUSG00000074604,ortholog_one2one
ENSG00000087152,ENSMUSG00000059995,ortholog_one2one
ENSG00000087206,ENSMUSG00000025878,ortholog_one2one
ENSG00000087258,ENSMUSG00000031748,ortholog_one2one
ENSG00000087589,ENSMUSG00000074570,ortholog_one2one
ENSG00000087903,ENSMUSG00000024206,ortholog_one2one
ENSG00000088448,ENSMUSG00000031508,ortholog_one2one
ENSG00000088727,ENSMUSG00000032489,ortholog_one2one
ENSG00000088766,ENSMUSG00000027357,ortholog_one2one
ENSG00000089094,ENSMUSG00000029475,ortholog_one2one
ENSG00000089280,ENSMUSG00000030795,ortholog_one2one
ENSG00000089327,ENSMUSG00000009687,ortholog_one2one
ENSG00000090372,ENSMUSG00000030374,ortholog_one2one
ENSG00000090615,ENSMUSG00000029502,ortholog_one2one
ENSG00000090975,ENSMUSG00000029406,ortholog_one2one
ENSG00000091039,ENSMUSG00000020189,ortholog_one2one
ENSG00000091436,ENSMUSG00000004085,ortholog_one2one
ENSG00000091622,ENSMUSG00000040543,ortholog_one2one
ENSG00000092421,ENSMUSG00000019647,ortholog_one2one
ENSG00000092439,ENSMUSG00000027365,ortholog_one2one
ENSG00000092445,ENSMUSG00000027298,ortholog_one2one
ENSG00000092531,ENSMUSG00000027287,ortholog_one2one
ENSG00000092969,ENSMUSG00000039239,ortholog_one2one
ENSG00000095752,ENSMUSG00000004371,ortholog_one2one
ENSG00000095970,ENSMUSG00000023992,ortholog_one2one
ENSG00000096746,ENSMUSG00000020069,ortholog_one2one
ENSG00000096872,ENSMUSG00000028576,ortholog_one2one
ENSG00000097007,ENSMUSG00000026842,ortholog_one2one
ENSG00000099139,ENSMUSG00000024713,ortholog_one2one
ENSG00000099385,ENSMUSG00000030814,ortholog_one2one
ENSG00000099783,ENSMUSG00000059208,ortholog_one2one
ENSG00000099785,ENSMUSG00000079557,ortholog_one2one
ENSG00000099864,ENSMUSG00000035863,ortholog_one2one
ENSG00000099957,ENSMUSG00000022758,ortholog_one2one
ENSG00000100116,ENSMUSG00000006378,ortholog_one2one
ENSG00000100503,ENSMUSG00000021068,ortholog_one2one
ENSG00000100567,ENSMUSG00000060073,ortholog_one2one
ENSG00000100796,ENSMUSG00000041846,ortholog_one2one
ENSG00000100884,ENSMUSG00000022212,ortholog_one2one
ENSG00000100991,ENSMUSG00000038324,ortholog_one2one
ENSG00000101079,ENSMUSG00000027634,ortholog_one2one
ENSG00000101557,ENSMUSG00000047879,ortholog_one2one
ENSG00000101605,ENSMUSG00000024049,ortholog_one2one
ENSG00000101843,ENSMUSG00000031429,ortholog_one2one
ENSG00000101892,ENSMUSG00000016327,ortholog_one2one
ENSG00000101928,ENSMUSG00000023074,ortholog_one2one
ENSG00000101945,ENSMUSG00000039231,ortholog_one2one
ENSG00000101972,ENSMUSG00000025862,ortholog_one2one
ENSG00000101974,ENSMUSG00000062949,ortholog_one2one
ENSG00000102024,ENSMUSG00000016382,ortholog_one2one
ENSG00000102271,ENSMUSG00000025597,ortholog_one2one
ENSG00000102466,ENSMUSG00000025551,ortholog_one2one
ENSG00000102524,ENSMUSG00000031497,ortholog_one2one
ENSG00000102910,ENSMUSG00000047866,ortholog_one2one
ENSG00000103023,ENSMUSG00000048400,ortholog_one2one
ENSG00000103051,ENSMUSG00000031753,ortholog_one2one
ENSG00000103126,ENSMUSG00000024182,ortholog_one2one
