sp1_gene_ID,sp2_gene_ID,homology_type
ENSMUSG00000026584,ENSCAFG00000015126,ortholog_one2one
ENSMUSG00000000600,ENSCAFG00000001961,ortholog_one2one
ENSMUSG00000027082,ENSCAFG00000014752,ortholog_one2one
ENSMUSG00000036940,ENSCAFG00000013361,ortholog_one2one
ENSMUSG00000032582,ENSCAFG00000010914,ortholog_one2one
ENSMUSG00000036882,ENSCAFG00000006785,ortholog_one2one
ENSMUSG00000023964,ENSCAFG00000002033,ortholog_one2one
ENSMUSG00000020697,ENSCAFG00000018330,ortholog_one2one
ENSMUSG00000030924,ENSCAFG00000017924,ortholog_one2one
ENSMUSG00000030830,ENSCAFG00000016603,ortholog_one2one
ENSMUSG00000035152,ENSCAFG00000018246,ortholog_one2one
ENSMUSG00000025728,ENSCAFG00000019662,ortholog_one2one
ENSMUSG00000037217,ENSCAFG00000015146,ortholog_one2one
ENSMUSG00000020570,ENSCAFG00000004000,ortholog_one2one
ENSMUSG00000008540,ENSCAFG00000012619,ortholog_one2one
ENSMUSG00000028979,ENSCAFG00000016744,ortholog_one2one
ENSMUSG00000045078,ENSCAFG00000015990,ortholog_one2one
ENSMUSG00000024050,ENSCAFG00000016006,ortholog_one2one
ENSMUSG00000035437,ENSCAFG00000020242,ortholog_one2one
ENSMUSG00000028954,ENSCAFG00000004876,ortholog_one2one
ENSMUSG00000060450,ENSCAFG00000006241,ortholog_one2one
ENSMUSG00000037606,ENSCAFG00000010329,ortholog_one2one
ENSMUSG00000018196,ENSCAFG00000010549,ortholog_one2one
ENSMUSG00000023977,ENSCAFG00000001697,ortholog_one2one
ENSMUSG00000068739,ENSCAFG00000019847,ortholog_one2one
ENSMUSG00000032567,ENSCAFG00000006097,ortholog_one2one
ENSMUSG00000042032,ENSCAFG00000017181,ortholog_one2one
ENSMUSG00000068663,ENSCAFG00000018920,ortholog_one2one
ENSMUSG00000023249,ENSCAFG00000010042,ortholog_one2one
ENSMUSG00000014725,ENSCAFG00000009056,ortholog_one2one
ENSMUSG00000038070,ENSCAFG00000001566,ortholog_one2one
ENSMUSG00000033793,ENSCAFG00000006947,ortholog_one2one
ENSMUSG00000034858,ENSCAFG00000015862,ortholog_one2one
ENSMUSG00000019966,ENSCAFG00000006091,ortholog_one2one
ENSMUSG00000028980,ENSCAFG00000019727,ortholog_one2one
ENSMUSG00000039556,ENSCAFG00000015938,ortholog_one2one
ENSMUSG00000039219,ENSCAFG00000011439,ortholog_one2one
ENSMUSG00000030732,ENSCAFG00000005475,ortholog_one2one
ENSMUSG00000038319,ENSCAFG00000025442,ortholog_one2one
ENSMUSG00000020523,ENSCAFG00000017653,ortholog_one2one
ENSMUSG00000006529,ENSCAFG00000008867,ortholog_one2one
ENSMUSG00000020023,ENSCAFG00000006227,ortholog_one2one
ENSMUSG00000026463,ENSCAFG00000009564,ortholog_one2one
ENSMUSG00000025007,ENSCAFG00000008339,ortholog_one2one
ENSMUSG00000037126,ENSCAFG00000010170,ortholog_one2one
ENSMUSG00000030189,ENSCAFG00000013401,ortholog_one2one
ENSMUSG00000027002,ENSCAFG00000014355,ortholog_one2one
ENSMUSG00000017670,ENSCAFG00000010313,ortholog_one2one
ENSMUSG00000000632,ENSCAFG00000018854,ortholog_one2one
ENSMUSG00000030435,ENSCAFG00000002551,ortholog_one2one
ENSMUSG00000021575,ENSCAFG00000025377,ortholog_one2one
ENSMUSG00000012535,ENSCAFG00000001543,ortholog_one2one
ENSMUSG00000002342,ENSCAFG00000014369,ortholog_one2one
ENSMUSG00000030303,ENSCAFG00000010901,ortholog_one2one
ENSMUSG00000013523,ENSCAFG00000011825,ortholog_one2one
ENSMUSG00000031948,ENSCAFG00000020069,ortholog_one2one
ENSMUSG00000025060,ENSCAFG00000010516,ortholog_one2one
ENSMUSG00000026311,ENSCAFG00000012461,ortholog_one2one
ENSMUSG00000026259,ENSCAFG00000011587,ortholog_one2one
ENSMUSG00000006390,ENSCAFG00000005245,ortholog_one2one
ENSMUSG00000021196,ENSCAFG00000005468,ortholog_one2one
ENSMUSG00000021759,ENSCAFG00000006838,ortholog_one2one
ENSMUSG00000031376,ENSCAFG00000019230,ortholog_one2one
ENSMUSG00000031278,ENSCAFG00000018063,ortholog_one2one
ENSMUSG00000028159,ENSCAFG00000010571,ortholog_one2one
ENSMUSG00000034430,ENSCAFG00000003826,ortholog_one2one
ENSMUSG00000026110,ENSCAFG00000002323,ortholog_one2one
ENSMUSG00000029670,ENSCAFG00000003481,ortholog_one2one
ENSMUSG00000020964,ENSCAFG00000017315,ortholog_one2one
ENSMUSG00000035478,ENSCAFG00000019503,ortholog_one2one
ENSMUSG00000005469,ENSCAFG00000016488,ortholog_one2one
ENSMUSG00000018906,ENSCAFG00000000824,ortholog_one2one
ENSMUSG00000013736,ENSCAFG00000005985,ortholog_one2one
ENSMUSG00000018442,ENSCAFG00000032265,ortholog_one2one
ENSMUSG00000022696,ENSCAFG00000010667,ortholog_one2one
ENSMUSG00000037936,ENSCAFG00000006968,ortholog_one2one
ENSMUSG00000020926,ENSCAFG00000014102,ortholog_one2one
ENSMUSG00000027202,ENSCAFG00000014211,ortholog_one2one
ENSMUSG00000029591,ENSCAFG00000011144,ortholog_one2one
ENSMUSG00000021314,ENSCAFG00000003617,ortholog_one2one
ENSMUSG00000038533,ENSCAFG00000007420,ortholog_one2one
ENSMUSG00000029076,ENSCAFG00000019323,ortholog_one2one
