triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
9,ENSG00000111602-ENSMUSG00000039994-ENSCAFG00000000124,0,0,56,0,1,58,0,171
13,ENSG00000119471-ENSMUSG00000028383-ENSCAFG00000003028,0,0,22,0,0,23,1,68
17,ENSG00000134954-ENSMUSG00000032035-ENSCAFG00000010304,15,0,5,0,0,1,1,57
44,ENSG00000166979-ENSMUSG00000039903-ENSCAFG00000008978,17,0,1,0,0,0,0,53
60,ENSG00000128951-ENSMUSG00000027203-ENSCAFG00000014277,12,0,3,0,3,3,0,48
89,ENSG00000152582-ENSMUSG00000072663-ENSCAFG00000018767,0,0,75,0,0,37,3,190
90,ENSG00000125746-ENSMUSG00000040811-ENSCAFG00000004409,38,0,8,0,2,10,5,147
94,ENSG00000138468-ENSMUSG00000052917-ENSCAFG00000029915,0,0,48,0,2,52,0,150
101,ENSG00000168803-ENSMUSG00000027259-ENSCAFG00000012043,18,0,2,0,1,6,1,66
132,ENSG00000001461-ENSMUSG00000028803-ENSCAFG00000012956,22,0,1,0,4,2,0,74
133,ENSG00000087470-ENSMUSG00000022789-ENSCAFG00000010528,43,0,1,0,0,1,1,133
140,ENSG00000026508-ENSMUSG00000005087-ENSCAFG00000006889,24,0,12,0,2,14,8,120
159,ENSG00000180881-ENSMUSG00000035694-ENSCAFG00000000481,0,0,22,0,18,35,13,110
163,ENSG00000165915-ENSMUSG00000002105-ENSCAFG00000008717,20,0,1,0,0,1,3,66
193,ENSG00000203963-ENSMUSG00000028520-ENSCAFG00000030133,0,0,14,0,3,17,5,53
194,ENSG00000160049-ENSMUSG00000028974-ENSCAFG00000016784,12,0,1,0,0,1,2,41
197,ENSG00000150764-ENSMUSG00000032064-ENSCAFG00000014061,45,0,2,0,0,2,1,142
216,ENSG00000103599-ENSMUSG00000037801-ENSCAFG00000017422,0,0,49,0,3,45,0,146
228,ENSG00000105971-ENSMUSG00000000058-ENSCAFG00000003402,7,0,1,0,0,0,3,26
242,ENSG00000101843-ENSMUSG00000031429-ENSCAFG00000018007,11,0,1,0,0,1,0,36
247,ENSG00000082438-ENSMUSG00000034903-ENSCAFG00000010630,0,0,29,0,7,29,3,97
263,ENSG00000163793-ENSMUSG00000053856-ENSCAFG00000032365,0,0,6,0,3,10,4,29
270,ENSG00000163453-ENSMUSG00000036256-ENSCAFG00000002330,9,0,1,0,1,3,0,33
273,ENSG00000115525-ENSMUSG00000056091-ENSCAFG00000007653,13,0,2,0,2,2,0,47
281,ENSG00000136709-ENSMUSG00000024400-ENSCAFG00000004326,42,0,1,0,2,3,0,133
336,ENSG00000160563-ENSMUSG00000026799-ENSCAFG00000019900,17,0,2,0,0,2,0,57
349,ENSG00000197818-ENSMUSG00000039463-ENSCAFG00000011460,0,0,32,0,1,33,0,98
361,ENSG00000136699-ENSMUSG00000005899-ENSCAFG00000014966,38,0,3,0,0,3,0,123
364,ENSG00000135049-ENSMUSG00000021557-ENSCAFG00000001358,52,0,1,0,2,2,0,162
377,ENSG00000117245-ENSMUSG00000028758-ENSCAFG00000015035,0,0,28,0,4,31,5,96
389,ENSG00000122417-ENSMUSG00000028256-ENSCAFG00000020256,0,0,32,0,6,32,0,102
426,ENSG00000117625-ENSMUSG00000037395-ENSCAFG00000012107,28,0,1,0,0,0,0,86
429,ENSG00000115520-ENSMUSG00000025981-ENSCAFG00000010890,9,0,1,0,2,1,3,35
431,ENSG00000116299-ENSMUSG00000040412-ENSCAFG00000019851,46,0,3,0,0,0,1,145
444,ENSG00000182504-ENSMUSG00000022604-ENSCAFG00000009608,21,0,2,0,0,6,0,73
460,ENSG00000174516-ENSMUSG00000024901-ENSCAFG00000012682,14,0,2,0,0,0,7,53
467,ENSG00000163534-ENSMUSG00000059994-ENSCAFG00000016449,0,0,22,0,4,24,3,75
488,ENSG00000166734-ENSMUSG00000060227-ENSCAFG00000013507,0,0,20,0,0,20,0,60
492,ENSG00000151693-ENSMUSG00000052632-ENSCAFG00000003370,0,0,56,0,0,59,4,175
500,ENSG00000092140-ENSMUSG00000035293-ENSCAFG00000012582,27,0,2,0,0,4,3,92
510,ENSG00000151917-ENSMUSG00000042182-ENSCAFG00000002447,0,0,10,0,2,13,0,35
515,ENSG00000141027-ENSMUSG00000018501-ENSCAFG00000018040,44,0,22,0,33,49,35,293
526,ENSG00000102524-ENSMUSG00000031497-ENSCAFG00000031735,0,0,12,0,0,14,1,39
530,ENSG00000012504-ENSMUSG00000047638-ENSCAFG00000006835,20,0,1,0,0,1,1,64
540,ENSG00000110713-ENSMUSG00000063550-ENSCAFG00000005871,66,0,1,0,0,1,0,201
