triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
21,ENSG00000152492-ENSMUSG00000038127-ENSCAFG00000014058,24,0,0,0,0,0,0,72
66,ENSG00000137942-ENSMUSG00000039735-ENSCAFG00000020135,35,0,0,0,0,0,0,105
73,ENSG00000104894-ENSMUSG00000030798-ENSCAFG00000003709,20,0,0,0,0,0,0,60
79,ENSG00000142864-ENSMUSG00000036371-ENSCAFG00000018538,18,0,0,0,0,0,0,54
88,ENSG00000196821-ENSMUSG00000056692-ENSCAFG00000001229,11,0,0,0,0,0,0,33
92,ENSG00000137944-ENSMUSG00000040213-ENSCAFG00000020207,27,0,0,0,0,0,0,81
98,ENSG00000147162-ENSMUSG00000034160-ENSCAFG00000017134,45,0,0,0,0,0,0,135
112,ENSG00000080546-ENSMUSG00000038332-ENSCAFG00000003793,23,0,0,0,0,0,0,69
113,ENSG00000049130-ENSMUSG00000019966-ENSCAFG00000006091,18,0,0,0,0,0,0,54
119,ENSG00000010295-ENSMUSG00000038271-ENSCAFG00000015047,22,0,0,0,0,0,0,66
126,ENSG00000147010-ENSMUSG00000040990-ENSCAFG00000013075,40,0,0,0,0,0,0,120
129,ENSG00000167130-ENSMUSG00000026856-ENSCAFG00000020001,17,0,0,0,0,0,0,51
130,ENSG00000031698-ENSMUSG00000068739-ENSCAFG00000019847,24,0,0,0,0,0,0,72
149,ENSG00000179262-ENSMUSG00000003813-ENSCAFG00000017085,19,0,0,0,0,0,0,57
162,ENSG00000148429-ENSMUSG00000039046-ENSCAFG00000004866,32,0,0,0,0,0,0,96
170,ENSG00000123374-ENSMUSG00000025358-ENSCAFG00000000082,16,0,0,0,0,0,0,48
225,ENSG00000108788-ENSMUSG00000017801-ENSCAFG00000029102,17,0,0,0,0,0,0,51
252,ENSG00000100095-ENSMUSG00000058153-ENSCAFG00000011694,36,0,0,0,0,0,0,108
276,ENSG00000172005-ENSMUSG00000027375-ENSCAFG00000007047,8,0,0,0,0,0,0,24
372,ENSG00000105879-ENSMUSG00000020659-ENSCAFG00000031990,14,0,0,0,0,0,0,42
376,ENSG00000118473-ENSMUSG00000028524-ENSCAFG00000018570,53,0,0,0,0,0,0,159
390,ENSG00000072849-ENSMUSG00000018442-ENSCAFG00000032265,16,0,0,0,0,0,0,48
403,ENSG00000133687-ENSMUSG00000030306-ENSCAFG00000010821,41,0,0,0,0,0,0,123
410,ENSG00000186231-ENSMUSG00000040387-ENSCAFG00000003452,21,0,0,0,0,0,0,63
416,ENSG00000109572-ENSMUSG00000004319-ENSCAFG00000007669,30,0,0,0,0,0,0,90
421,ENSG00000100991-ENSMUSG00000038324-ENSCAFG00000007912,39,0,0,0,0,0,0,117
445,ENSG00000004487-ENSMUSG00000036940-ENSCAFG00000013361,42,0,0,0,0,0,0,126
469,ENSG00000119661-ENSMUSG00000042523-ENSCAFG00000016858,17,0,0,0,0,0,0,51
483,ENSG00000167642-ENSMUSG00000074227-ENSCAFG00000005948,14,0,0,0,0,0,0,42
506,ENSG00000182287-ENSMUSG00000031367-ENSCAFG00000012215,12,0,0,0,0,0,0,36
514,ENSG00000067840-ENSMUSG00000002006-ENSCAFG00000019290,17,0,0,0,0,0,0,51
549,ENSG00000149930-ENSMUSG00000059981-ENSCAFG00000017039,39,0,0,0,0,0,0,117
555,ENSG00000073921-ENSMUSG00000039361-ENSCAFG00000004486,47,0,0,0,0,0,0,141
558,ENSG00000001167-ENSMUSG00000023994-ENSCAFG00000001580,20,0,0,0,0,0,0,60
570,ENSG00000138668-ENSMUSG00000000568-ENSCAFG00000025045,16,0,0,0,0,0,0,48
581,ENSG00000083896-ENSMUSG00000035851-ENSCAFG00000002821,35,0,0,0,0,0,0,105
587,ENSG00000138795-ENSMUSG00000027985-ENSCAFG00000011252,26,0,0,0,0,0,0,78
593,ENSG00000179295-ENSMUSG00000043733-ENSCAFG00000008894,32,0,0,0,0,0,0,96
600,ENSG00000135108-ENSMUSG00000032898-ENSCAFG00000009303,25,0,0,0,0,0,0,75
610,ENSG00000176463-ENSMUSG00000025790-ENSCAFG00000011241,23,0,0,0,0,0,0,69
615,ENSG00000128591-ENSMUSG00000068699-ENSCAFG00000001585,97,0,0,0,0,0,0,291
617,ENSG00000143549-ENSMUSG00000027940-ENSCAFG00000017311,30,0,0,0,0,0,0,90
623,ENSG00000143882-ENSMUSG00000020566-ENSCAFG00000003464,28,0,0,0,0,0,0,84
625,ENSG00000148339-ENSMUSG00000026819-ENSCAFG00000020091,26,0,0,0,0,0,0,78
640,ENSG00000101892-ENSMUSG00000016327-ENSCAFG00000018484,17,0,0,0,0,0,0,51
678,ENSG00000133884-ENSMUSG00000024826-ENSCAFG00000013654,24,0,0,0,0,0,0,72
686,ENSG00000112280-ENSMUSG00000026147-ENSCAFG00000002589,78,0,0,0,0,0,0,234
691,ENSG00000171843-ENSMUSG00000028496-ENSCAFG00000001635,25,0,0,0,0,0,0,75
704,ENSG00000110497-ENSMUSG00000040506-ENSCAFG00000009193,36,0,0,0,0,0,0,108
728,ENSG00000204138-ENSMUSG00000066043-ENSCAFG00000011801,28,0,0,0,0,0,0,84
739,ENSG00000204231-ENSMUSG00000039656-ENSCAFG00000000912,22,0,0,0,0,0,0,66
751,ENSG00000145687-ENSMUSG00000003992-ENSCAFG00000008677,35,0,0,0,0,0,0,105
