triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
8,ENSG00000275410-ENSMUSG00000020679-ENSCAFG00000018150,19,2,0,0,1,0,0,62
19,ENSG00000125257-ENSMUSG00000032849-ENSCAFG00000005433,62,0,0,0,2,0,0,188
41,ENSG00000072609-ENSMUSG00000014668-ENSCAFG00000006074,34,0,0,2,2,0,0,108
49,ENSG00000077254-ENSMUSG00000025437-ENSCAFG00000020373,48,0,0,0,4,0,0,148
52,ENSG00000034533-ENSMUSG00000032567-ENSCAFG00000006097,9,0,0,0,2,0,0,29
71,ENSG00000166482-ENSMUSG00000042436-ENSCAFG00000030269,12,0,0,0,2,0,0,38
85,ENSG00000078699-ENSMUSG00000038533-ENSCAFG00000007420,23,0,0,0,2,0,0,71
109,ENSG00000137392-ENSMUSG00000024225-ENSCAFG00000001349,6,0,0,0,2,0,0,20
120,ENSG00000185324-ENSMUSG00000033862-ENSCAFG00000019820,27,0,0,0,2,0,0,83
142,ENSG00000013619-ENSMUSG00000059401-ENSCAFG00000019116,8,0,0,2,5,0,0,33
147,ENSG00000179915-ENSMUSG00000024109-ENSCAFG00000030961,17,0,0,32,3,0,0,118
165,ENSG00000088448-ENSMUSG00000031508-ENSCAFG00000006095,13,0,0,0,3,0,0,42
175,ENSG00000099204-ENSMUSG00000025085-ENSCAFG00000011513,57,0,0,0,2,0,0,173
176,ENSG00000100227-ENSMUSG00000041815-ENSCAFG00000000959,18,0,0,0,1,0,0,55
192,ENSG00000099956-ENSMUSG00000000902-ENSCAFG00000014105,19,0,0,0,1,0,0,58
221,ENSG00000185010-ENSMUSG00000031196-ENSCAFG00000019631,52,0,0,0,2,0,0,158
223,ENSG00000114316-ENSMUSG00000032612-ENSCAFG00000024214,44,0,0,0,2,0,0,134
224,ENSG00000170471-ENSMUSG00000027652-ENSCAFG00000008947,61,0,0,0,1,0,0,184
284,ENSG00000112282-ENSMUSG00000019984-ENSCAFG00000000380,57,3,0,0,8,0,0,185
297,ENSG00000121897-ENSMUSG00000029199-ENSCAFG00000015991,20,4,0,0,3,0,0,71
314,ENSG00000185043-ENSMUSG00000030538-ENSCAFG00000012099,15,0,0,0,1,0,0,46
332,ENSG00000124615-ENSMUSG00000064120-ENSCAFG00000001568,23,0,0,0,1,0,0,70
370,ENSG00000089094-ENSMUSG00000029475-ENSCAFG00000008259,47,0,0,2,5,0,0,150
371,ENSG00000070190-ENSMUSG00000028159-ENSCAFG00000010571,18,0,0,0,2,0,0,56
378,ENSG00000061938-ENSMUSG00000022791-ENSCAFG00000012918,26,0,0,10,2,0,0,100
418,ENSG00000271447-ENSMUSG00000020682-ENSCAFG00000018182,18,0,0,0,3,0,0,57
435,ENSG00000066468-ENSMUSG00000030849-ENSCAFG00000012374,37,1,0,0,8,0,0,121
453,ENSG00000088766-ENSMUSG00000027357-ENSCAFG00000005934,13,2,0,0,3,0,0,46
471,ENSG00000132463-ENSMUSG00000044221-ENSCAFG00000002922,14,0,0,7,1,0,0,57
487,ENSG00000107147-ENSMUSG00000058740-ENSCAFG00000019737,64,0,0,2,4,0,0,200
502,ENSG00000128342-ENSMUSG00000034394-ENSCAFG00000030931,7,0,0,0,1,0,0,22
534,ENSG00000196323-ENSMUSG00000047412-ENSCAFG00000009981,11,0,0,0,5,0,0,38
