triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
3,ENSG00000163513-ENSMUSG00000032440-ENSCAFG00000005449,0,0,0,16,0,0,14,46
10,ENSG00000143376-ENSMUSG00000028136-ENSCAFG00000012737,26,0,0,0,0,0,27,105
20,ENSG00000107669-ENSMUSG00000030850-ENSCAFG00000012400,28,0,0,2,0,0,1,89
31,ENSG00000135930-ENSMUSG00000026254-ENSCAFG00000012558,0,0,0,20,0,0,2,42
43,ENSG00000135341-ENSMUSG00000028284-ENSCAFG00000003123,35,0,0,0,0,0,1,106
56,ENSG00000178691-ENSMUSG00000017548-ENSCAFG00000018498,31,0,0,1,0,0,1,96
58,ENSG00000151612-ENSMUSG00000071064-ENSCAFG00000007698,29,0,0,0,0,0,4,91
62,ENSG00000163508-ENSMUSG00000032446-ENSCAFG00000005510,17,0,0,0,0,0,1,52
65,ENSG00000176884-ENSMUSG00000026959-ENSCAFG00000019499,34,0,0,11,0,0,28,152
83,ENSG00000165689-ENSMUSG00000026927-ENSCAFG00000019678,20,0,0,0,0,0,11,71
86,ENSG00000139970-ENSMUSG00000021087-ENSCAFG00000015578,14,0,0,6,0,0,8,62
91,ENSG00000133195-ENSMUSG00000041654-ENSCAFG00000031583,0,0,0,19,0,0,8,46
105,ENSG00000088833-ENSMUSG00000027455-ENSCAFG00000006789,20,0,0,0,0,0,2,62
114,ENSG00000157181-ENSMUSG00000006010-ENSCAFG00000013744,26,0,0,0,0,0,2,80
128,ENSG00000006283-ENSMUSG00000020866-ENSCAFG00000017120,84,0,0,0,0,0,1,253
156,ENSG00000072803-ENSMUSG00000020271-ENSCAFG00000016890,27,0,0,0,0,0,1,82
157,ENSG00000075413-ENSMUSG00000007411-ENSCAFG00000018257,37,0,0,0,0,0,3,114
169,ENSG00000185532-ENSMUSG00000052920-ENSCAFG00000031979,0,0,0,38,0,0,30,106
177,ENSG00000120616-ENSMUSG00000024240-ENSCAFG00000004100,30,0,0,4,0,0,1,99
199,ENSG00000197694-ENSMUSG00000057738-ENSCAFG00000020049,114,0,0,0,0,0,2,344
207,ENSG00000080802-ENSMUSG00000038784-ENSCAFG00000003223,25,0,0,0,0,0,1,76
227,ENSG00000188981-ENSMUSG00000051246-ENSCAFG00000014681,5,0,0,4,0,0,1,24
228,ENSG00000105971-ENSMUSG00000000058-ENSCAFG00000003402,7,0,1,0,0,0,3,26
230,ENSG00000154914-ENSMUSG00000020905-ENSCAFG00000017439,29,0,0,2,0,0,1,92
231,ENSG00000121579-ENSMUSG00000022698-ENSCAFG00000010694,0,0,0,11,0,0,6,28
243,ENSG00000158545-ENSMUSG00000017478-ENSCAFG00000019884,36,0,0,0,0,0,1,109
245,ENSG00000148737-ENSMUSG00000024985-ENSCAFG00000011005,0,0,0,43,0,0,22,108
248,ENSG00000116001-ENSMUSG00000071337-ENSCAFG00000003341,27,0,0,0,0,0,3,84
250,ENSG00000132466-ENSMUSG00000055204-ENSCAFG00000002998,69,0,0,1,0,0,1,210
253,ENSG00000150627-ENSMUSG00000039375-ENSCAFG00000008450,0,0,0,63,0,0,60,186
261,ENSG00000072858-ENSMUSG00000022696-ENSCAFG00000010667,0,0,0,52,0,0,50,154
278,ENSG00000172733-ENSMUSG00000049184-ENSCAFG00000006442,4,0,0,1,0,0,1,15
