triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
5,ENSG00000064419-ENSMUSG00000012535-ENSCAFG00000001543,44,0,0,0,0,1,0,133
97,ENSG00000097033-ENSMUSG00000037062-ENSCAFG00000020239,17,0,0,8,0,3,0,70
107,ENSG00000146776-ENSMUSG00000020564-ENSCAFG00000004012,18,0,0,10,0,1,0,75
118,ENSG00000142611-ENSMUSG00000039410-ENSCAFG00000019473,30,0,0,9,0,1,0,109
138,ENSG00000151746-ENSMUSG00000003452-ENSCAFG00000010619,14,0,0,9,0,1,0,61
148,ENSG00000103091-ENSMUSG00000031959-ENSCAFG00000020099,55,0,0,0,0,3,0,168
174,ENSG00000105619-ENSMUSG00000006335-ENSCAFG00000002701,14,0,0,0,0,1,0,43
190,ENSG00000136114-ENSMUSG00000031480-ENSCAFG00000005940,8,0,0,0,0,1,0,25
242,ENSG00000101843-ENSMUSG00000031429-ENSCAFG00000018007,11,0,1,0,0,1,0,36
289,ENSG00000163406-ENSMUSG00000022899-ENSCAFG00000011672,44,1,0,0,0,1,0,135
296,ENSG00000106799-ENSMUSG00000007613-ENSCAFG00000002528,16,0,0,4,0,2,0,58
310,ENSG00000185739-ENSMUSG00000022519-ENSCAFG00000019233,14,0,0,0,0,2,0,44
311,ENSG00000178982-ENSMUSG00000053565-ENSCAFG00000005866,17,0,0,0,0,2,0,53
322,ENSG00000165379-ENSMUSG00000035653-ENSCAFG00000013943,9,0,0,0,0,1,0,28
336,ENSG00000160563-ENSMUSG00000026799-ENSCAFG00000019900,17,0,2,0,0,2,0,57
346,ENSG00000103249-ENSMUSG00000036636-ENSCAFG00000019565,48,0,0,3,0,2,0,152
361,ENSG00000136699-ENSMUSG00000005899-ENSCAFG00000014966,38,0,3,0,0,3,0,123
381,ENSG00000188732-ENSMUSG00000047115-ENSCAFG00000002784,14,1,0,0,0,2,0,46
394,ENSG00000141968-ENSMUSG00000034116-ENSCAFG00000018590,54,0,0,0,0,2,0,164
430,ENSG00000184743-ENSMUSG00000024759-ENSCAFG00000015073,24,0,0,3,0,2,0,80
440,ENSG00000038427-ENSMUSG00000021614-ENSCAFG00000008582,28,0,0,0,0,1,0,85
444,ENSG00000182504-ENSMUSG00000022604-ENSCAFG00000009608,21,0,2,0,0,6,0,73
472,ENSG00000100320-ENSMUSG00000033565-ENSCAFG00000001701,27,0,0,6,0,2,0,95
488,ENSG00000166734-ENSMUSG00000060227-ENSCAFG00000013507,0,0,20,0,0,20,0,60
508,ENSG00000135336-ENSMUSG00000040044-ENSCAFG00000003080,39,0,2,1,0,1,0,124
516,ENSG00000113657-ENSMUSG00000024501-ENSCAFG00000006607,28,0,0,2,0,2,0,90
519,ENSG00000103710-ENSMUSG00000041696-ENSCAFG00000017123,6,0,0,5,0,2,0,30
540,ENSG00000110713-ENSMUSG00000063550-ENSCAFG00000005871,66,0,1,0,0,1,0,201
545,ENSG00000108309-ENSMUSG00000006575-ENSCAFG00000014197,25,0,0,0,0,1,0,76
556,ENSG00000167037-ENSMUSG00000042216-ENSCAFG00000011498,52,0,0,0,0,2,0,158
559,ENSG00000197696-ENSMUSG00000025723-ENSCAFG00000030848,5,0,1,2,0,1,0,22
564,ENSG00000102030-ENSMUSG00000031388-ENSCAFG00000019415,16,0,0,0,0,4,0,52
607,ENSG00000157404-ENSMUSG00000005672-ENSCAFG00000002065,0,0,44,0,0,43,0,131
619,ENSG00000157036-ENSMUSG00000042787-ENSCAFG00000005039,12,0,0,0,0,3,0,39
638,ENSG00000147526-ENSMUSG00000065954-ENSCAFG00000005876,22,0,6,0,0,4,0,82
671,ENSG00000240771-ENSMUSG00000019467-ENSCAFG00000000250,32,0,0,2,0,2,0,102
705,ENSG00000155792-ENSMUSG00000022419-ENSCAFG00000000885,18,0,0,0,0,2,0,56
708,ENSG00000185963-ENSMUSG00000037933-ENSCAFG00000002289,17,0,0,0,0,1,0,52
804,ENSG00000103051-ENSMUSG00000031753-ENSCAFG00000020149,38,0,1,0,0,1,0,117
814,ENSG00000174015-ENSMUSG00000034913-ENSCAFG00000004519,6,0,0,2,0,1,0,23
825,ENSG00000151276-ENSMUSG00000045095-ENSCAFG00000006722,30,0,0,25,0,1,0,141
842,ENSG00000106069-ENSMUSG00000004633-ENSCAFG00000003023,27,2,0,1,0,2,0,89
843,ENSG00000154589-ENSMUSG00000025779-ENSCAFG00000032483,10,0,0,0,0,1,0,31
844,ENSG00000120438-ENSMUSG00000068039-ENSCAFG00000000732,25,0,0,0,0,1,0,76
848,ENSG00000173905-ENSMUSG00000034109-ENSCAFG00000014599,0,0,33,0,0,32,0,98
