10 31246430 31246681 . - 31246430 31246681 . 2 65,65 0,185
1 106856892 106859780 . - 106856892 106859780 . 2 65,36 0,2852
1 110550531 110554145 . - 110550531 110554145 . 2 65,65 0,3548
1 114704142 114727418 . - 114704142 114727418 . 2 60,65 0,23210
11 40201764 40202791 . - 40201764 40202791 . 2 65,3 0,1024
11 51096783 51099767 . - 51096783 51099767 . 2 65,49 0,2935
12 32764670 32772888 . - 32764670 32772888 . 2 65,65 0,8152
12 32772835 32779281 . - 32772835 32779281 . 2 65,65 0,6380
12 32816981 32823799 . - 32816981 32823799 . 2 54,63 0,6755
12 32823736 32823960 . - 32823736 32823960 . 2 63,36 0,188
12 32824267 32825984 . - 32824267 32825984 . 2 65,65 0,1651
12 3864301 3880684 . - 3864301 3880684 . 2 36,65 0,16317
12 52152760 52156776 . - 52152760 52156776 . 2 65,56 0,3960
12 52154106 52156776 . - 52154106 52156776 . 2 35,56 0,2614
12 65973570 65980725 . - 65973570 65980725 . 2 65,65 0,7089
13 37381191 37387847 . - 37381191 37387847 . 2 65,24 0,6632
17 38273349 38278419 . - 38273349 38278419 . 2 65,65 0,5004
17 51044714 51073925 . - 51044714 51073925 . 2 65,65 0,29145
18 12858764 12863077 . - 12858764 12863077 . 2 65,65 0,4247
20 27686722 27722375 . - 27686722 27722375 . 2 65,24 0,35629
20 49247071 49247318 . - 49247071 49247318 . 2 65,65 0,181
24 24056623 24067942 . - 24056623 24067942 . 2 65,65 0,11253
26 13737938 13744401 . - 13737938 13744401 . 2 65,65 0,6397
2 72012632 72030358 . - 72012632 72030358 . 2 65,46 0,17680
30 15344668 15347012 . - 15344668 15347012 . 2 65,65 0,2278
30 16489045 16491718 . - 16489045 16491718 . 2 65,65 0,2607
32 6324973 6326453 . - 6324973 6326453 . 2 65,65 0,1414
37 24947884 24948440 . - 24947884 24948440 . 2 65,65 0,490
6 10141029 10142707 . - 10141029 10142707 . 2 65,65 0,1612
8 62316842 62318790 . - 62316842 62318790 . 2 65,65 0,1882
9 55365495 55365851 . - 55365495 55365851 . 2 65,36 0,320
9 55365815 55366542 . - 55365815 55366542 . 2 36,65 0,661
9 55366712 55369314 . - 55366712 55369314 . 2 65,65 0,2536
9 55366712 55376666 . - 55366712 55376666 . 2 65,65 0,9888
X 11558994 11566359 . - 11558994 11566359 . 2 65,65 0,7299
X 121620804 121647035 . - 121620804 121647035 . 2 65,60 0,26171
X 15680572 15727530 . - 15680572 15727530 . 2 65,51 0,46907
X 41192618 41193753 . - 41192618 41193753 . 2 65,65 0,1069
