human_ensemble_id_gene	gene_id	gene_name	mouse_ensembl_id	mouse_gene_id	mouse_gene_name	dog_ensembl_id	dog_gene_id	dog_gene_name	transcript	status	mouse_ortholog_transcript	status	dog_ortholog_transcript	status
ENSG00000007392	LUC7L	LUC7 like 	ENSMUSG00000024188	Luc7l	Luc7-like 	ENSCAFG00000019689	LUC7L	LUC7 like 	ENST00000293872	known	ENSMUST00000114976	known	ENSCAFT00000031307	known
ENSG00000007392	LUC7L	LUC7 like 	ENSMUSG00000024188	Luc7l	Luc7-like 	ENSCAFG00000019689	LUC7L	LUC7 like 	ENST00000337351	known	ENSMUST00000119928	known	CGACAFTENSMUST00000025023	predicted
ENSG00000007392	LUC7L	LUC7 like 	ENSMUSG00000024188	Luc7l	Luc7-like 	ENSCAFG00000019689	LUC7L	LUC7 like 	ENST00000397783	known	ENSMUST00000119928	known	CGACAFTENSMUST00000025023	predicted
ENSG00000007392	LUC7L	LUC7 like 	ENSMUSG00000024188	Luc7l	Luc7-like 	ENSCAFG00000019689	LUC7L	LUC7 like 	ENST00000397780	known	CGAMUSTENST00000397780	predicted	CGACAFTENST00000397780	predicted
ENSG00000173065	FAM222B	family with sequence similarity 222 member B 	ENSMUSG00000037750	Fam222b	family with sequence similarity 222, member B 	ENSCAFG00000031142	FAM222B	family with sequence similarity 222 member B 	ENST00000341217	known	ENSMUST00000100782	known	CGACAFTENST00000341217	predicted
ENSG00000173065	FAM222B	family with sequence similarity 222 member B 	ENSMUSG00000037750	Fam222b	family with sequence similarity 222, member B 	ENSCAFG00000031142	FAM222B	family with sequence similarity 222 member B 	ENST00000452648	known	ENSMUST00000155571	known	ENSCAFT00000047903	known
ENSG00000173065	FAM222B	family with sequence similarity 222 member B 	ENSMUSG00000037750	Fam222b	family with sequence similarity 222, member B 	ENSCAFG00000031142	FAM222B	family with sequence similarity 222 member B 	ENST00000581407	known	ENSMUST00000155571	known	ENSCAFT00000047903	known
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000561208	known	ENSMUST00000028639	known	CGACAFTENST00000561208	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000338564	known	ENSMUST00000102538	known	CGACAFTENST00000338564	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000397624	known	CGAMUSTENST00000397624	predicted	CGACAFTENST00000397624	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000559085	known	CGAMUSTENST00000559085	predicted	CGACAFTENST00000559085	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000557796	known	CGAMUSTENST00000557796	predicted	CGACAFTENST00000557796	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000397620	known	CGAMUSTENST00000397624	predicted	CGACAFTENST00000397624	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000424352	known	ENSMUST00000110907	known	CGACAFTENST00000424352	predicted
ENSG00000134138	MEIS2	Meis homeobox 2 	ENSMUSG00000027210	Meis2	Meis homeobox 2 	ENSCAFG00000008498	MEIS2	Meis homeobox 2 	ENST00000559561	known	ENSMUST00000110908	known	ENSCAFT00000013569	known
