triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
8,ENSG00000275410-ENSMUSG00000020679-ENSCAFG00000018150,19,2,0,0,1,0,0,62
27,ENSG00000183323-ENSMUSG00000048924-ENSCAFG00000007760,0,18,0,0,23,5,9,73
37,ENSG00000113327-ENSMUSG00000020436-ENSCAFG00000017227,20,1,0,0,2,0,1,65
239,ENSG00000157637-ENSMUSG00000061306-ENSCAFG00000005725,0,34,0,0,33,4,1,106
274,ENSG00000204979-ENSMUSG00000057240-ENSCAFG00000028588,0,12,0,0,10,2,0,36
284,ENSG00000112282-ENSMUSG00000019984-ENSCAFG00000000380,57,3,0,0,8,0,0,185
289,ENSG00000163406-ENSMUSG00000022899-ENSCAFG00000011672,44,1,0,0,0,1,0,135
297,ENSG00000121897-ENSMUSG00000029199-ENSCAFG00000015991,20,4,0,0,3,0,0,71
309,ENSG00000010704-ENSMUSG00000006611-ENSCAFG00000010925,0,12,0,0,16,0,1,41
381,ENSG00000188732-ENSMUSG00000047115-ENSCAFG00000002784,14,1,0,0,0,2,0,46
435,ENSG00000066468-ENSMUSG00000030849-ENSCAFG00000012374,37,1,0,0,8,0,0,121
453,ENSG00000088766-ENSMUSG00000027357-ENSCAFG00000005934,13,2,0,0,3,0,0,46
501,ENSG00000106077-ENSMUSG00000040532-ENSCAFG00000012539,11,1,0,0,3,1,0,39
518,ENSG00000007341-ENSMUSG00000045576-ENSCAFG00000013597,28,1,0,0,5,0,4,95
595,ENSG00000126858-ENSMUSG00000017686-ENSCAFG00000018443,43,3,0,0,0,0,1,136
657,ENSG00000172819-ENSMUSG00000001288-ENSCAFG00000007050,17,1,0,0,3,0,0,56
677,ENSG00000266173-ENSMUSG00000069631-ENSCAFG00000012905,25,1,0,0,4,0,0,81
695,ENSG00000169727-ENSMUSG00000025156-ENSCAFG00000005938,0,24,0,0,31,8,0,87
735,ENSG00000167632-ENSMUSG00000047921-ENSCAFG00000001181,44,2,0,0,3,4,0,143
746,ENSG00000109103-ENSMUSG00000002058-ENSCAFG00000018713,11,1,0,0,1,2,0,38
752,ENSG00000108370-ENSMUSG00000020599-ENSCAFG00000011148,38,1,0,0,2,0,3,121
773,ENSG00000173805-ENSMUSG00000006930-ENSCAFG00000015920,0,22,0,0,23,3,5,75
803,ENSG00000196091-ENSMUSG00000020061-ENSCAFG00000007134,67,1,0,0,1,0,3,207
824,ENSG00000138684-ENSMUSG00000027718-ENSCAFG00000004004,8,2,0,0,3,1,0,32
893,ENSG00000006128-ENSMUSG00000061762-ENSCAFG00000002207,11,1,0,0,1,0,0,36
923,ENSG00000111058-ENSMUSG00000035948-ENSCAFG00000005820,0,30,0,0,33,5,0,98
929,ENSG00000049239-ENSMUSG00000028980-ENSCAFG00000019727,7,1,0,0,4,3,0,30
971,ENSG00000198003-ENSMUSG00000039632-ENSCAFG00000017400,26,1,0,0,0,1,0,81
1116,ENSG00000171130-ENSMUSG00000039347-ENSCAFG00000004543,5,1,0,0,3,2,0,22
1191,ENSG00000132676-ENSMUSG00000068921-ENSCAFG00000016941,23,1,0,0,1,3,0,75
1245,ENSG00000126106-ENSMUSG00000048772-ENSCAFG00000004791,7,1,0,0,0,2,0,25
1292,ENSG00000021852-ENSMUSG00000029656-ENSCAFG00000018937,23,1,0,0,4,0,0,75
1337,ENSG00000142459-ENSMUSG00000011832-ENSCAFG00000018316,38,1,0,0,0,2,0,118
1391,ENSG00000165322-ENSMUSG00000041225-ENSCAFG00000004045,33,1,0,0,3,0,0,104
1397,ENSG00000126970-ENSMUSG00000035062-ENSCAFG00000016559,12,1,0,0,0,2,1,41
1455,ENSG00000164347-ENSMUSG00000021666-ENSCAFG00000008298,39,2,0,0,2,2,0,125
1508,ENSG00000198589-ENSMUSG00000028080-ENSCAFG00000007907,112,3,0,0,3,1,0,346
