triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
0,ENSG00000165795-ENSMUSG00000004558-ENSCAFG00000005461,31,0,0,0,3,0,0,96
1,ENSG00000007392-ENSMUSG00000024188-ENSCAFG00000019689,22,0,0,0,0,0,0,66
2,ENSG00000135903-ENSMUSG00000004872-ENSCAFG00000016041,0,0,0,21,7,0,20,69
3,ENSG00000163513-ENSMUSG00000032440-ENSCAFG00000005449,0,0,0,16,0,0,14,46
4,ENSG00000117385-ENSMUSG00000028641-ENSCAFG00000002526,32,0,0,0,3,3,0,102
5,ENSG00000064419-ENSMUSG00000012535-ENSCAFG00000001543,44,0,0,0,0,1,0,133
6,ENSG00000173065-ENSMUSG00000037750-ENSCAFG00000031142,5,0,0,0,0,0,0,15
7,ENSG00000118733-ENSMUSG00000027965-ENSCAFG00000019992,12,0,0,2,0,0,0,40
8,ENSG00000275410-ENSMUSG00000020679-ENSCAFG00000018150,19,2,0,0,1,0,0,62
9,ENSG00000111602-ENSMUSG00000039994-ENSCAFG00000000124,0,0,56,0,1,58,0,171
10,ENSG00000143376-ENSMUSG00000028136-ENSCAFG00000012737,26,0,0,0,0,0,27,105
11,ENSG00000109458-ENSMUSG00000031714-ENSCAFG00000003613,18,0,0,5,0,0,0,64
12,ENSG00000164418-ENSMUSG00000056073-ENSCAFG00000003580,30,0,0,7,0,0,0,104
13,ENSG00000119471-ENSMUSG00000028383-ENSCAFG00000003028,0,0,22,0,0,23,1,68
14,ENSG00000134138-ENSMUSG00000027210-ENSCAFG00000008498,32,0,0,0,0,0,0,96
15,ENSG00000101150-ENSMUSG00000000827-ENSCAFG00000013072,17,0,0,2,1,0,1,57
16,ENSG00000092421-ENSMUSG00000019647-ENSCAFG00000000192,38,0,0,0,0,0,0,114
17,ENSG00000134954-ENSMUSG00000032035-ENSCAFG00000010304,15,0,5,0,0,1,1,57
18,ENSG00000091073-ENSMUSG00000004947-ENSCAFG00000013614,19,0,0,0,0,0,0,57
19,ENSG00000125257-ENSMUSG00000032849-ENSCAFG00000005433,62,0,0,0,2,0,0,188
20,ENSG00000107669-ENSMUSG00000030850-ENSCAFG00000012400,28,0,0,2,0,0,1,89
21,ENSG00000152492-ENSMUSG00000038127-ENSCAFG00000014058,24,0,0,0,0,0,0,72
22,ENSG00000146872-ENSMUSG00000020694-ENSCAFG00000013137,43,0,0,0,2,1,0,132
23,ENSG00000166206-ENSMUSG00000033676-ENSCAFG00000030702,15,0,0,7,2,0,0,61
24,ENSG00000159216-ENSMUSG00000022952-ENSCAFG00000009596,15,0,2,0,2,0,0,51
25,ENSG00000172780-ENSMUSG00000030055-ENSCAFG00000024835,6,0,0,0,2,2,0,22
26,ENSG00000154678-ENSMUSG00000004347-ENSCAFG00000003133,38,2,0,6,0,2,0,132
27,ENSG00000183323-ENSMUSG00000048924-ENSCAFG00000007760,0,18,0,0,23,5,9,73
28,ENSG00000154040-ENSMUSG00000024430-ENSCAFG00000014114,0,0,0,5,8,5,10,33
29,ENSG00000147394-ENSMUSG00000031351-ENSCAFG00000019176,0,0,0,0,50,35,53,138
30,ENSG00000150551-ENSMUSG00000026344-ENSCAFG00000005000,7,0,0,0,0,0,0,21
31,ENSG00000135930-ENSMUSG00000026254-ENSCAFG00000012558,0,0,0,20,0,0,2,42
32,ENSG00000134909-ENSMUSG00000041444-ENSCAFG00000010235,45,0,0,0,0,0,2,137
33,ENSG00000117174-ENSMUSG00000074182-ENSCAFG00000020273,20,0,2,0,0,1,0,65
34,ENSG00000121075-ENSMUSG00000000094-ENSCAFG00000017740,17,0,1,0,0,0,0,53
35,ENSG00000124067-ENSMUSG00000017765-ENSCAFG00000020329,50,0,0,0,3,1,2,156
36,ENSG00000184708-ENSMUSG00000020454-ENSCAFG00000013163,36,0,2,0,0,0,0,112
37,ENSG00000113327-ENSMUSG00000020436-ENSCAFG00000017227,20,1,0,0,2,0,1,65
38,ENSG00000176946-ENSMUSG00000026279-ENSCAFG00000013012,10,0,0,4,0,0,0,38
39,ENSG00000171735-ENSMUSG00000014592-ENSCAFG00000019650,0,0,0,50,2,0,38,140
40,ENSG00000081803-ENSMUSG00000017978-ENSCAFG00000003553,0,0,0,64,0,2,56,186
41,ENSG00000072609-ENSMUSG00000014668-ENSCAFG00000006074,34,0,0,2,2,0,0,108
42,ENSG00000266094-ENSMUSG00000026430-ENSCAFG00000029799,0,0,0,16,2,0,14,48
43,ENSG00000135341-ENSMUSG00000028284-ENSCAFG00000003123,35,0,0,0,0,0,1,106
44,ENSG00000166979-ENSMUSG00000039903-ENSCAFG00000008978,17,0,1,0,0,0,0,53
45,ENSG00000205683-ENSMUSG00000021221-ENSCAFG00000016783,16,0,0,10,4,0,0,72
46,ENSG00000113532-ENSMUSG00000040710-ENSCAFG00000007617,9,0,0,3,0,0,0,33
47,ENSG00000081237-ENSMUSG00000026395-ENSCAFG00000011265,0,0,0,0,66,64,71,201
48,ENSG00000110514-ENSMUSG00000040687-ENSCAFG00000008656,76,0,0,0,0,0,1,229
49,ENSG00000077254-ENSMUSG00000025437-ENSCAFG00000020373,48,0,0,0,4,0,0,148
50,ENSG00000087589-ENSMUSG00000074570-ENSCAFG00000011920,0,0,0,13,0,2,12,40
51,ENSG00000101040-ENSMUSG00000039671-ENSCAFG00000010734,46,0,2,5,0,2,1,155
52,ENSG00000034533-ENSMUSG00000032567-ENSCAFG00000006097,9,0,0,0,2,0,0,29
53,ENSG00000108774-ENSMUSG00000019173-ENSCAFG00000015629,10,0,0,3,0,1,0,37
54,ENSG00000105699-ENSMUSG00000001247-ENSCAFG00000007086,19,1,0,0,2,0,0,61
55,ENSG00000110693-ENSMUSG00000051910-ENSCAFG00000008607,33,0,4,0,0,0,2,109
56,ENSG00000178691-ENSMUSG00000017548-ENSCAFG00000018498,31,0,0,1,0,0,1,96
