sp1_gene_ID,sp2_gene_ID,homology_type
ENSG00000000457,ENSCAFG00000015126,ortholog_one2one
ENSG00000001631,ENSCAFG00000001961,ortholog_one2one
ENSG00000003436,ENSCAFG00000014752,ortholog_one2one
ENSG00000004487,ENSCAFG00000013361,ortholog_one2one
ENSG00000004534,ENSCAFG00000010914,ortholog_one2one
ENSG00000004777,ENSCAFG00000006785,ortholog_one2one
ENSG00000004948,ENSCAFG00000002033,ortholog_one2one
ENSG00000005156,ENSCAFG00000018330,ortholog_one2one
ENSG00000005189,ENSCAFG00000017924,ortholog_one2one
ENSG00000005844,ENSCAFG00000016603,ortholog_one2one
ENSG00000006125,ENSCAFG00000018246,ortholog_one2one
ENSG00000007541,ENSCAFG00000019662,ortholog_one2one
ENSG00000008056,ENSCAFG00000015146,ortholog_one2one
ENSG00000008282,ENSCAFG00000004000,ortholog_one2one
ENSG00000008394,ENSCAFG00000012619,ortholog_one2one
ENSG00000009724,ENSCAFG00000016744,ortholog_one2one
ENSG00000011275,ENSCAFG00000015990,ortholog_one2one
ENSG00000011451,ENSCAFG00000016006,ortholog_one2one
ENSG00000011454,ENSCAFG00000020242,ortholog_one2one
ENSG00000013374,ENSCAFG00000004876,ortholog_one2one
ENSG00000013561,ENSCAFG00000006241,ortholog_one2one
ENSG00000021762,ENSCAFG00000010329,ortholog_one2one
ENSG00000023572,ENSCAFG00000010549,ortholog_one2one
ENSG00000024048,ENSCAFG00000001697,ortholog_one2one
ENSG00000031698,ENSCAFG00000019847,ortholog_one2one
ENSG00000034533,ENSCAFG00000006097,ortholog_one2one
ENSG00000038274,ENSCAFG00000017181,ortholog_one2one
ENSG00000038532,ENSCAFG00000018920,ortholog_one2one
ENSG00000041880,ENSCAFG00000010042,ortholog_one2one
ENSG00000042980,ENSCAFG00000009056,ortholog_one2one
ENSG00000044459,ENSCAFG00000001566,ortholog_one2one
ENSG00000047249,ENSCAFG00000006947,ortholog_one2one
ENSG00000047346,ENSCAFG00000015862,ortholog_one2one
ENSG00000049130,ENSCAFG00000006091,ortholog_one2one
ENSG00000049239,ENSCAFG00000019727,ortholog_one2one
ENSG00000049769,ENSCAFG00000015938,ortholog_one2one
ENSG00000054267,ENSCAFG00000011439,ortholog_one2one
ENSG00000054938,ENSCAFG00000005475,ortholog_one2one
ENSG00000055118,ENSCAFG00000025442,ortholog_one2one
ENSG00000055147,ENSCAFG00000017653,ortholog_one2one
ENSG00000055957,ENSCAFG00000008867,ortholog_one2one
ENSG00000057704,ENSCAFG00000006227,ortholog_one2one
ENSG00000058668,ENSCAFG00000009564,ortholog_one2one
ENSG00000059573,ENSCAFG00000008339,ortholog_one2one
ENSG00000059915,ENSCAFG00000010170,ortholog_one2one
ENSG00000060138,ENSCAFG00000013401,ortholog_one2one
ENSG00000061676,ENSCAFG00000014355,ortholog_one2one
ENSG00000062598,ENSCAFG00000010313,ortholog_one2one
ENSG00000063015,ENSCAFG00000018854,ortholog_one2one
ENSG00000063244,ENSCAFG00000002551,ortholog_one2one
ENSG00000063438,ENSCAFG00000025377,ortholog_one2one
ENSG00000064419,ENSCAFG00000001543,ortholog_one2one
ENSG00000064545,ENSCAFG00000014369,ortholog_one2one
ENSG00000064763,ENSCAFG00000010901,ortholog_one2one
ENSG00000064787,ENSCAFG00000011825,ortholog_one2one
