triplet_number,Genes_triplet,clique_number,human_abs_number,mouse_abs_number,dog_abs_number,human_specific_number,mouse_specific_number,dog_specific_number,total
2,ENSG00000135903-ENSMUSG00000004872-ENSCAFG00000016041,0,0,0,21,7,0,20,69
3,ENSG00000163513-ENSMUSG00000032440-ENSCAFG00000005449,0,0,0,16,0,0,14,46
7,ENSG00000118733-ENSMUSG00000027965-ENSCAFG00000019992,12,0,0,2,0,0,0,40
11,ENSG00000109458-ENSMUSG00000031714-ENSCAFG00000003613,18,0,0,5,0,0,0,64
12,ENSG00000164418-ENSMUSG00000056073-ENSCAFG00000003580,30,0,0,7,0,0,0,104
15,ENSG00000101150-ENSMUSG00000000827-ENSCAFG00000013072,17,0,0,2,1,0,1,57
20,ENSG00000107669-ENSMUSG00000030850-ENSCAFG00000012400,28,0,0,2,0,0,1,89
31,ENSG00000135930-ENSMUSG00000026254-ENSCAFG00000012558,0,0,0,20,0,0,2,42
38,ENSG00000176946-ENSMUSG00000026279-ENSCAFG00000013012,10,0,0,4,0,0,0,38
40,ENSG00000081803-ENSMUSG00000017978-ENSCAFG00000003553,0,0,0,64,0,2,56,186
41,ENSG00000072609-ENSMUSG00000014668-ENSCAFG00000006074,34,0,0,2,2,0,0,108
42,ENSG00000266094-ENSMUSG00000026430-ENSCAFG00000029799,0,0,0,16,2,0,14,48
46,ENSG00000113532-ENSMUSG00000040710-ENSCAFG00000007617,9,0,0,3,0,0,0,33
50,ENSG00000087589-ENSMUSG00000074570-ENSCAFG00000011920,0,0,0,13,0,2,12,40
56,ENSG00000178691-ENSMUSG00000017548-ENSCAFG00000018498,31,0,0,1,0,0,1,96
61,ENSG00000134955-ENSMUSG00000032122-ENSCAFG00000010949,0,0,0,37,1,1,36,112
65,ENSG00000176884-ENSMUSG00000026959-ENSCAFG00000019499,34,0,0,11,0,0,28,152
70,ENSG00000181392-ENSMUSG00000019737-ENSCAFG00000006676,0,0,0,16,1,0,16,49
72,ENSG00000129219-ENSMUSG00000020828-ENSCAFG00000015843,18,0,0,32,1,0,29,148
80,ENSG00000107882-ENSMUSG00000025231-ENSCAFG00000010221,23,0,0,2,2,0,1,76
86,ENSG00000139970-ENSMUSG00000021087-ENSCAFG00000015578,14,0,0,6,0,0,8,62
91,ENSG00000133195-ENSMUSG00000041654-ENSCAFG00000031583,0,0,0,19,0,0,8,46
93,ENSG00000134758-ENSMUSG00000024317-ENSCAFG00000018017,12,0,0,3,0,0,0,42
97,ENSG00000097033-ENSMUSG00000037062-ENSCAFG00000020239,17,0,0,8,0,3,0,70
100,ENSG00000132906-ENSMUSG00000028914-ENSCAFG00000016279,17,0,0,1,1,1,3,58
107,ENSG00000146776-ENSMUSG00000020564-ENSCAFG00000004012,18,0,0,10,0,1,0,75
115,ENSG00000124493-ENSMUSG00000063239-ENSCAFG00000001202,18,0,0,2,6,2,6,72
118,ENSG00000142611-ENSMUSG00000039410-ENSCAFG00000019473,30,0,0,9,0,1,0,109
