"dog"	"human"	"mouse"
"1"	10	3	15
"2"	11	6	6
"3"	7	7	6
"4"	2	3	2
"5"	3	3	1
"6"	2	5	3
"7"	7	3	3
"8"	0	4	1
"9"	0	2	2
"10"	2	3	3
"11"	2	0	2
"12"	2	1	1
"13"	1	0	0
"14"	4	0	0
"15"	0	0	2
"16"	1	0	1
"17"	1	3	2
"18"	0	1	1
"19"	2	2	1
"21"	2	0	2
"22"	2	1	0
"23"	2	2	0
"24"	1	0	1
"25"	1	0	0
"26"	1	0	2
"27"	0	0	1
"29"	0	1	2
"30"	0	0	3
"31"	1	2	2
"32"	2	1	1
"33"	1	0	0
"34"	1	0	0
"35"	2	1	6
"36"	2	0	0
"37"	2	0	1
"38"	0	0	2
"39"	2	1	1
"40"	2	0	0
"41"	2	0	1
"42"	3	2	2
"43"	2	1	1
"44"	2	2	0
"45"	0	0	1
"46"	0	1	1
"47"	1	0	0
"48"	0	0	1
"49"	0	0	1
"50"	0	0	1
"51"	0	0	1
"52"	1	0	0
"55"	1	0	0
"57"	1	0	0
"58"	0	0	2
"59"	1	0	1
"60"	2	0	0
"61"	1	0	0
"62"	1	2	0
"63"	1	1	0
"65"	3	0	0
"66"	1	0	0
"68"	1	0	0
"69"	1	0	0
"70"	2	1	2
"71"	1	0	0
"72"	1	0	0
"73"	0	0	1
"74"	1	1	0
"75"	1	0	0
"76"	2	0	1
"77"	3	0	1
"80"	1	0	0
"81"	1	1	1
"82"	1	0	1
"83"	2	0	0
"84"	1	0	0
"85"	1	0	0
"86"	1	0	0
"87"	1	0	0
"88"	0	1	0
"89"	1	1	0
"90"	3	0	0
"91"	0	1	0
"94"	1	0	0
"99"	0	1	0
"100"	1	1	0
"101"	1	2	0
"102"	1	0	0
"103"	0	0	1
"104"	1	0	0
"105"	1	0	0
"107"	0	0	1
"108"	1	0	0
"110"	0	0	1
"111"	0	1	0
"112"	2	0	0
"113"	1	0	0
"116"	1	0	0
"117"	1	0	1
"119"	1	0	0
"121"	1	0	0
"123"	2	0	0
"124"	1	0	0
"126"	0	0	1
"128"	1	0	0
"132"	0	1	0
"133"	1	0	0
"134"	2	0	0
"136"	1	0	0
"143"	1	1	0
"144"	1	0	0
"145"	2	0	0
"146"	0	0	1
"149"	2	0	0
"150"	2	0	1
"151"	0	0	1
"154"	2	0	0
"157"	0	0	1
"158"	1	0	1
"164"	2	0	0
"165"	0	0	1
"166"	1	0	0
"167"	2	0	0
"168"	1	0	0
"170"	2	1	0
"176"	1	0	0
"179"	0	1	0
"180"	1	1	0
"181"	1	0	0
"183"	1	0	0
"184"	1	0	0
"194"	2	0	0
"195"	1	0	0
"197"	1	0	0
"200"	2	1	0
"207"	0	1	0
"215"	1	0	0
"217"	1	1	0
"221"	1	0	0
"223"	1	0	0
"224"	1	0	0
"225"	0	1	0
"227"	1	0	0
"228"	0	0	1
"233"	0	0	1
"239"	1	0	0
"240"	1	0	0
"243"	1	0	0
"244"	2	0	0
"248"	2	1	0
"249"	1	0	1
"255"	1	0	0
"256"	1	0	0
"277"	1	0	0
"291"	1	0	0
"293"	1	0	0
"294"	1	1	0
"295"	0	1	0
"310"	1	0	0
"312"	1	0	0
"314"	0	1	0
"316"	1	0	0
"317"	1	0	0
"318"	1	0	0
"320"	1	0	0
"325"	1	0	0
"326"	1	0	0
"330"	1	0	0
"332"	1	0	0
"334"	1	0	0
"336"	2	0	0
"338"	1	0	0
"341"	1	0	0
"345"	1	0	0
"355"	2	0	0
"366"	1	0	0
"370"	1	0	0
"381"	1	0	0
"382"	1	0	0
"385"	1	0	0
"386"	1	0	0
"399"	1	0	0
"408"	1	0	0
"412"	1	0	0
"414"	1	0	0
"419"	1	0	0
"420"	1	0	0
"423"	2	0	0
"424"	3	0	0
"426"	1	0	0
"428"	1	0	0
"429"	2	0	0
"430"	1	0	0
"431"	1	0	0
"437"	1	0	0
"442"	1	0	0
"447"	1	0	0
"450"	1	0	0
"472"	1	0	0
"476"	1	0	0
"479"	1	0	0
"480"	1	0	0
"487"	1	0	0
"488"	1	0	0
"493"	1	0	0
"498"	1	0	0
"501"	1	0	0
"504"	0	1	0
"508"	1	0	0
"521"	1	0	0
"526"	1	0	0
"530"	1	0	0
"540"	1	0	0
"541"	1	0	0
"542"	1	0	0
"544"	0	0	1
"568"	1	0	0
"572"	1	0	0
"598"	1	0	0
"599"	2	0	0
"603"	1	0	0
"608"	1	0	0
"609"	0	0	1
"612"	1	0	0
"614"	1	0	0
"619"	1	0	0
"620"	1	0	0
"622"	1	0	0
"628"	1	0	0
"629"	1	0	0
"631"	1	0	0
"637"	1	0	0
"640"	1	0	0
"644"	1	0	0
"653"	1	0	0
"659"	1	0	0
"669"	2	0	0
"677"	1	0	0
"679"	1	0	0
"682"	1	0	0
"684"	1	0	0
"691"	1	0	0
"714"	1	0	0
"718"	1	0	0
"734"	1	0	0
"756"	1	0	0
"763"	1	0	0
"773"	0	1	0
"775"	1	0	0
"778"	1	0	0
"789"	2	0	0
"802"	1	0	0
"807"	1	0	0
"810"	1	0	0
"814"	1	0	0
"825"	1	0	0
"826"	1	0	0
"827"	1	0	0
"855"	1	0	0
"870"	1	0	0
"890"	1	0	0
"898"	1	0	0
"910"	1	0	0
"922"	0	1	0
"937"	1	0	0
"938"	1	0	0
"945"	1	0	0
"954"	1	0	0
"964"	1	0	0
"988"	1	0	0
"991"	1	0	0
"995"	1	0	0
"1005"	1	0	0
"1020"	1	0	0
"1061"	2	0	0
"1101"	1	0	0
"1102"	1	0	0
"1103"	1	0	0
"1148"	0	0	1
"1149"	1	0	0
"1151"	1	0	0
"1174"	1	0	0
"1194"	1	0	0
"1201"	1	0	0
"1232"	1	0	0
"1239"	1	0	0
"1253"	0	0	1
"1409"	1	0	0
"1461"	1	0	0
"1480"	1	0	0
"1503"	1	0	0
"1520"	1	0	0
"1521"	1	0	0
"1535"	1	0	0
"1538"	1	0	0
"1557"	1	0	0
"1632"	1	0	0
"1660"	1	0	0
"1689"	1	0	0
"1713"	1	0	0
"1749"	1	0	0
"1807"	1	0	0
"1848"	1	0	0
"1873"	1	0	0
"1876"	1	0	0
"1881"	1	0	0
"1921"	2	0	0
"1928"	1	0	0
"1983"	1	0	0
"2021"	1	0	0
"2119"	1	0	0
"2155"	1	0	0
"2183"	1	0	0
"2358"	1	0	0
"2399"	1	0	0
"2443"	1	0	0
"2464"	1	0	0
"2481"	1	0	0
"2482"	1	0	0
"2589"	1	0	0
"2763"	1	0	0
"2837"	1	0	0
"2882"	1	0	0
"2935"	1	0	0
"3077"	1	0	0
"3184"	1	0	0
"3185"	1	0	0
"3518"	1	0	0
"3591"	1	0	0
"4285"	1	0	0
"4570"	1	0	0
"4870"	1	0	0
"5240"	1	0	0
"5683"	1	0	0
"5723"	1	0	0
"5830"	1	0	0
"6154"	1	0	0
"10939"	1	0	0
"10987"	1	0	0
"11202"	1	0	0
"11550"	1	0	0
"14506"	1	0	0
"15751"	1	0	0
"15792"	1	0	0
"16249"	1	0	0
"22671"	1	0	0
"24767"	1	0	0
"28195"	1	0	0
"29470"	1	0	0
