"clf"	"hs"	"mm"
"1"	0	4	10
"2"	10	15	14
"3"	0	8	7
"4"	14	14	9
"5"	0	10	10
"6"	7	8	8
"7"	0	11	7
"8"	9	12	12
"9"	0	6	10
"10"	10	8	5
"11"	0	7	9
"12"	8	14	6
"13"	0	8	11
"14"	7	4	6
"15"	0	7	6
"16"	12	10	4
"17"	0	6	7
"18"	10	2	11
"19"	0	2	5
"20"	5	8	5
"21"	0	9	7
"22"	9	6	9
"23"	0	12	5
"24"	6	7	6
"25"	0	8	1
"26"	11	10	2
"27"	0	6	8
"28"	6	2	6
"29"	0	4	3
"30"	6	8	7
"31"	0	2	3
"32"	4	6	3
"33"	0	2	3
"34"	7	5	2
"35"	0	8	6
"36"	11	5	5
"37"	0	3	4
"38"	5	4	4
"39"	0	5	10
"40"	5	3	10
"41"	0	2	8
"42"	7	8	5
"43"	0	2	5
"44"	9	4	5
"45"	0	2	6
"46"	5	4	6
"47"	0	5	5
"48"	6	7	7
"49"	0	7	5
"50"	1	6	5
"51"	0	6	7
"52"	2	5	4
"53"	0	4	6
"54"	8	8	6
"55"	0	7	4
"56"	6	3	7
"57"	0	7	4
"58"	3	9	5
"59"	0	8	8
"60"	7	6	4
"61"	0	3	6
"62"	3	11	5
"63"	0	4	4
"64"	3	4	7
"65"	0	2	3
"66"	3	6	5
"67"	0	7	5
"68"	2	6	7
"69"	0	3	4
"70"	6	5	7
"71"	0	6	3
"72"	5	2	4
"73"	0	5	5
"74"	4	3	4
"75"	0	3	3
"76"	4	5	6
"77"	0	4	2
"78"	10	4	1
"79"	0	4	5
"80"	10	2	6
"81"	0	6	8
"82"	8	6	5
"83"	0	5	1
"84"	5	3	6
"85"	0	2	3
"86"	5	2	6
"87"	0	9	6
"88"	5	5	5
"89"	0	2	3
"90"	6	5	10
"91"	0	5	1
"92"	6	2	4
"93"	0	6	6
"94"	5	4	6
"95"	0	0	4
"96"	7	4	2
"97"	0	5	2
"98"	5	4	7
"99"	0	7	2
"100"	5	0	3
"101"	0	2	1
"102"	7	5	1
"103"	0	2	7
"104"	4	1	7
"105"	0	5	6
"106"	6	1	3
"107"	0	4	5
"108"	6	1	5
"109"	0	5	9
"110"	4	4	6
"111"	0	2	6
"112"	7	5	4
"113"	0	3	3
"114"	4	4	6
"115"	0	2	4
"116"	5	7	3
"117"	0	7	4
"118"	8	3	8
"119"	0	4	6
"120"	4	5	1
"121"	0	9	5
"122"	6	2	7
"123"	0	4	5
"124"	5	8	9
"125"	0	2	2
"126"	4	3	2
"127"	0	6	11
"128"	7	8	3
"129"	0	3	4
"130"	3	5	3
"131"	0	6	4
"132"	5	2	5
"133"	0	4	5
"134"	5	3	2
"135"	0	7	5
"136"	7	3	5
"137"	0	0	7
"138"	4	3	3
"139"	0	4	3
"140"	7	2	3
"141"	0	2	4
"142"	3	5	5
"143"	0	9	7
"144"	4	5	7
"145"	0	6	3
"146"	5	0	5
"147"	0	6	2
"148"	4	4	10
"149"	0	5	4
"150"	3	3	6
"151"	0	4	7
"152"	6	5	6
"153"	0	2	5
"154"	2	3	1
"155"	0	6	10
"156"	1	3	8
"157"	0	3	4
"158"	5	3	6
"159"	0	6	7
"160"	6	5	3
"161"	0	1	2
"162"	8	1	6
"163"	0	4	5
"164"	5	0	3
"165"	0	3	1
"166"	1	1	5
"167"	0	1	3
"168"	6	5	5
"169"	0	1	4
"170"	3	3	7
"171"	0	1	7
"172"	6	0	4
"173"	0	4	4
"174"	6	3	2
"175"	0	5	4
"176"	5	2	3
"177"	0	4	5
"178"	3	3	4
"179"	0	3	5
"180"	10	3	2
"181"	0	6	7
"182"	1	2	2
"183"	0	3	4
"184"	4	1	8
"185"	0	2	2
"186"	6	4	3
"187"	0	3	4
"188"	6	2	5
"189"	0	2	6
"190"	4	4	2
"191"	0	1	4
"192"	2	3	3
"193"	0	3	5
"194"	2	2	3
"195"	0	1	3
"196"	7	2	5
"197"	0	0	4
"198"	2	6	6
"199"	0	4	10
"200"	3	3	3
"201"	0	1	2
"202"	1	2	2
"203"	0	1	7
"204"	1	4	3
"205"	0	4	3
"206"	7	2	5
"207"	0	1	4
"208"	7	2	4
"209"	0	3	10
"210"	6	2	0
"211"	0	2	2
"212"	3	1	8
"213"	0	2	2
"214"	5	3	5
"215"	0	5	1
"216"	5	1	6
