gene,tr_known,tr_pred
ENSG00000170248,2,0
ENSG00000105879,2,1
ENSG00000147955,2,0
ENSG00000147162,2,0
ENSG00000065613,2,0
ENSG00000143545,2,0
ENSG00000100991,2,1
ENSG00000136504,5,1
ENSG00000171723,2,2
ENSG00000031698,2,0
ENSG00000118473,2,3
ENSG00000176463,2,0
ENSG00000142864,4,0
ENSG00000151136,2,0
ENSG00000108788,3,0
ENSG00000163950,3,1
ENSG00000011275,2,0
ENSG00000072849,2,1
ENSG00000179950,6,0
ENSG00000096746,2,0
ENSG00000112280,2,0
ENSG00000063244,2,0
ENSG00000100796,2,1
ENSG00000131437,3,1
ENSG00000204231,2,2
ENSG00000143924,2,2
ENSG00000143549,8,1
ENSG00000148339,5,0
ENSG00000126457,3,1
ENSG00000179295,3,0
ENSG00000067840,3,0
ENSG00000135108,2,0
ENSG00000166167,3,0
ENSG00000149930,3,2
ENSG00000135316,3,1
ENSG00000087087,4,2
ENSG00000171843,2,2
ENSG00000107758,3,0
ENSG00000138660,2,0
ENSG00000125740,2,1
ENSG00000080546,3,0
ENSG00000117569,4,0
ENSG00000117362,3,0
ENSG00000186591,2,0
ENSG00000001167,2,2
ENSG00000133687,2,2
ENSG00000104894,2,1
ENSG00000116132,2,1
ENSG00000138814,3,0
ENSG00000169242,2,1
ENSG00000083896,3,0
ENSG00000141380,3,1
ENSG00000070808,2,2
ENSG00000049130,2,0
ENSG00000135018,2,0
ENSG00000175416,2,0
ENSG00000179262,3,0
ENSG00000127837,2,0
ENSG00000204138,2,1
ENSG00000170017,2,0
ENSG00000085978,3,1
ENSG00000100095,6,2
ENSG00000196821,2,1
ENSG00000171055,2,0
ENSG00000166886,2,0
ENSG00000164176,2,0
ENSG00000186231,4,1
ENSG00000182985,5,2
ENSG00000010295,4,0
ENSG00000161533,2,0
ENSG00000163630,2,0
ENSG00000109943,2,1
ENSG00000165061,2,1
ENSG00000128591,2,1
ENSG00000143952,2,0
ENSG00000138073,2,1
ENSG00000111790,3,0
ENSG00000138795,4,1
ENSG00000115593,2,0
ENSG00000090372,2,0
ENSG00000152492,2,1
ENSG00000011347,3,2
ENSG00000150471,2,5
ENSG00000138668,3,1
ENSG00000143882,2,1
ENSG00000196511,2,0
ENSG00000151962,3,0
ENSG00000149182,2,1
ENSG00000135636,11,2
ENSG00000008056,2,0
ENSG00000148429,2,1
ENSG00000171603,2,0
ENSG00000164970,2,1
ENSG00000182287,2,1
ENSG00000129159,2,0
ENSG00000109572,4,2
ENSG00000073282,7,2
ENSG00000130202,2,0
ENSG00000165192,3,0
ENSG00000143365,2,0
ENSG00000147044,3,1
ENSG00000092439,2,0
ENSG00000167130,2,1
ENSG00000135333,2,2
ENSG00000134644,2,4
ENSG00000110429,2,0
ENSG00000092969,2,0
ENSG00000147852,2,1
ENSG00000136574,3,0
ENSG00000137942,3,1
ENSG00000254087,2,0
ENSG00000123374,3,1
ENSG00000160917,3,3
ENSG00000145687,6,0
ENSG00000110497,3,1
ENSG00000138675,2,0
ENSG00000132002,2,0
ENSG00000073921,4,5
ENSG00000172005,4,0
ENSG00000120802,4,1
ENSG00000105991,2,0
ENSG00000120156,3,2
ENSG00000140455,2,1
ENSG00000166200,2,0
ENSG00000119661,2,0
ENSG00000137944,2,0
ENSG00000004487,2,1
ENSG00000167642,2,0
ENSG00000185697,2,0
ENSG00000136404,3,1
ENSG00000176444,2,1
ENSG00000169744,4,2
ENSG00000147010,3,0
ENSG00000101892,2,0
ENSG00000133884,2,0
ENSMUSG00000032504,2,0
