Junctions	sum	species
CGATENSMUST00000076043JUNC00002	6	human
CGATENSMUST00000005072JUNC00006	5	human
CGATENSMUST00000069949JUNC00007	62	human
CGATENSMUST00000088419JUNC00008	74	human
CGATENSMUST00000088419JUNC00009	101	human
CGATENSMUST00000088419JUNC00010	217	human
CGATENSMUST00000026416JUNC00011	2	human
CGATENSMUST00000026416JUNC00012	3	human
CGATENSMUST00000060095JUNC00014	143	human
CGATENSMUST00000060095JUNC00015	207	human
CGATENSMUST00000060095JUNC00016	225	human
CGATENSMUST00000096766JUNC00018	35	human
CGATENSMUST00000096766JUNC00019	43	human
CGATENSMUST00000199243JUNC00022	3	human
CGATENSMUST00000090927JUNC00023	248	human
CGATENSMUST00000111291JUNC00025	12	human
CGATENSMUST00000111292JUNC00026	1	human
CGATENSMUST00000113620JUNC00030	44	human
CGATENSMUST00000042503JUNC00031	4	human
CGATENSMUST00000118442JUNC00032	18	human
CGATENSMUST00000118442JUNC00033	17	human
CGATENSMUST00000119385JUNC00034	91	human
CGATENSMUST00000084170JUNC00036	2	human
CGATENSMUST00000114859JUNC00037	7	human
CGATENSMUST00000113190JUNC00040	4	human
CGATENSMUST00000113190JUNC00041	3	human
CGATENSMUST00000066824JUNC00042	4	human
CGATENSMUST00000072481JUNC00043	29	human
CGATENSCAFT00000044406JUNC00046	88	human
CGATENSMUST00000207225JUNC00047	773	human
CGATENSMUST00000108049JUNC00048	6	human
CGATENSMUST00000074046JUNC00049	7	human
CGATENSMUST00000074046JUNC00050	2	human
CGATENSMUST00000078800JUNC00052	44	human
CGATENSMUST00000159063JUNC00053	32	human
CGATENSMUST00000174282JUNC00054	100	human
CGATENSCAFT00000022782JUNC00055	10	human
CGATENSCAFT00000022782JUNC00056	180	human
CGATENSMUST00000077182JUNC00057	9	human
CGATENSMUST00000164290JUNC00058	3	human
CGATENSMUST00000075387JUNC00060	23	human
CGATENSMUST00000197425JUNC00061	10	human
CGATENSMUST00000208446JUNC00062	922	human
CGATENSMUST00000079754JUNC00063	6	human
CGATENSMUST00000079754JUNC00064	3	human
CGATENSCAFT00000027630JUNC00065	89	human
CGATENSMUST00000071268JUNC00066	5	human
CGATENSCAFT00000022682JUNC00067	81	human
CGATENSCAFT00000027252JUNC00068	10	human
CGATENSMUST00000052472JUNC00070	19	human
CGATENSMUST00000052472JUNC00072	2	human
CGATENSCAFT00000031036JUNC00073	1	human
CGATENSMUST00000112294JUNC00074	46	human
CGATENSMUST00000073939JUNC00076	2	human
CGATENSMUST00000112428JUNC00077	170	human
CGATENSMUST00000112428JUNC00078	111	human
CGATENSMUST00000110424JUNC00080	17	human
CGATENSCAFT00000008733JUNC00081	8	human
CGATENSMUST00000115196JUNC00082	6	human
CGATENSMUST00000116437JUNC00083	9	human
CGATENSMUST00000116437JUNC00084	8	human
CGATENSMUST00000028691JUNC00085	295	human
CGATENSMUST00000028691JUNC00086	294	human
CGATENSMUST00000113590JUNC00089	42	human
CGATENSMUST00000113590JUNC00090	1	human
CGATENSCAFT00000024036JUNC00091	200	human
CGATENSMUST00000199256JUNC00092	70	human
CGATENSMUST00000047645JUNC00094	39	human
CGATENSCAFT00000012325JUNC00095	101	human
CGATENSCAFT00000012325JUNC00096	99	human
CGATENSCAFT00000012325JUNC00097	504	human
CGATENSCAFT00000012333JUNC00098	19	human
CGATENSMUST00000099355JUNC00099	42	human
CGATENSMUST00000106151JUNC00100	132	human
CGATENSCAFT00000012642JUNC00103	6	human
CGATENSMUST00000160629JUNC00105	62	human
CGATENSMUST00000203187JUNC00106	31	human
CGATENSMUST00000076968JUNC00109	2	human
CGATENSMUST00000076968JUNC00110	23	human
CGATENSMUST00000076968JUNC00111	31	human
CGATENSMUST00000020884JUNC00113	8	human
CGATENSMUST00000020884JUNC00114	7	human
CGATENSMUST00000107043JUNC00118	3	human
CGATENSCAFT00000017823JUNC00119	314	human
CGATENSCAFT00000017823JUNC00120	179	human
CGATENSMUST00000105992JUNC00121	63	human
CGATENSMUST00000105991JUNC00122	17	human
CGATENSMUST00000110906JUNC00123	5	human
CGATENSMUST00000202567JUNC00125	22	human
CGATENSMUST00000080934JUNC00126	3	human
CGATENSMUST00000108191JUNC00127	8	human
