ERROR: position ortholog index to check. ENSCAFG00000017566 ENSMUSG00000030779 [*:7:21511232:9 [*:9:122970962
ERROR: position ortholog index to check. ENSCAFG00000019938 ENSG00000097007 ]*:51:53120446:52 ]-:52:130885683
ERROR: position ortholog index to check. ENSG00000141837 ENSMUSG00000034656 [*:7:13506224:5 [-:5:84415645
ERROR: position ortholog index to check. ENSMUSG00000034656 ENSG00000141837 [*:5:84415645:7 [-:7:13506224
ERROR: position ortholog index to check. ENSMUSG00000030849 ENSG00000066468 [*:13:130261857:26 [-:26:121593817
ERROR: position ortholog index to check. ENSMUSG00000030849 ENSG00000066468 ]*:89:130163959:128 ]-:128:121479857
ERROR: position ortholog index to check. ENSCAFG00000012374 ENSG00000066468 [*:13:31406613:26 [-:26:121593817
ERROR: position ortholog index to check. ENSCAFG00000012374 ENSG00000066468 ]*:93:31305430:128 ]-:128:121479857
ERROR: position ortholog index to check. ENSMUSG00000030849 ENSCAFG00000012374 [*:13:130261857:11 [-:11:31406613
ERROR: position ortholog index to check. ENSG00000137821 ENSCAFG00000017623 [*:16:70892895:1 [-:1:34581241
ERROR: position ortholog index to check. ENSG00000137821 ENSCAFG00000017623 [*:16:70892895:1 [-:1:34581241
ERROR: position ortholog index to check. ENSG00000137821 ENSCAFG00000017623 ]*:90:71049612:74 ]-:74:34737009
ERROR: position ortholog index to check. ENSMUSG00000047766 ENSCAFG00000017623 ]*:76:60587688:72 ]-:72:34737009
ERROR: position ortholog index to check. ENSG00000017427 ENSCAFG00000007304 [*:10:102480381:7 [*:7:41275699
ERROR: position ortholog index to check. ENSCAFG00000007304 ENSG00000017427 [*:12:41273771:17 [*:17:102478501
ERROR: position ortholog index to check. ENSCAFG00000007304 ENSG00000017427 ]*:33:41203518:37 ]*:37:102402541
ERROR: position ortholog index to check. ENSMUSG00000020053 ENSCAFG00000007304 [*:10:87859350:5 [-:5:41275699
ERROR: position ortholog index to check. ENSMUSG00000017716 ENSCAFG00000005302 [*:4:117849351:3 [-:3:2935397
ERROR: position ortholog index to check. ENSG00000086712 ENSMUSG00000038344 [*:4:16786488:3 [-:3:162829340
ERROR: position ortholog index to check. ENSG00000086712 ENSMUSG00000038344 ]*:51:16841766:52 ]-:52:162781092
ERROR: position ortholog index to check. ENSCAFG00000012620 ENSG00000086712 ]*:38:12978105:45 ]-:45:16841766
ERROR: position ortholog index to check. ENSCAFG00000012620 ENSMUSG00000038344 ]*:44:12978105:52 ]-:52:162781092
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSG00000113108 [*:3:36679045:5 [-:5:140564245
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSG00000113108 ]*:55:36671439:57 ]-:57:140558585
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 [*:3:36679045:1 [*:1:35758731
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 [*:3:36679045:1 [*:1:35758731
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 [*:3:36679045:1 [*:1:35758731
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 [*:3:36679045:1 [*:1:35758731
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 ]*:59:36671439:58 ]*:58:35753533
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 ]*:59:36671439:58 ]*:58:35753533
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 ]*:59:36671439:58 ]*:58:35753533
ERROR: position ortholog index to check. ENSMUSG00000006050 ENSCAFG00000005825 ]*:59:36671439:58 ]*:58:35753533
ERROR: position ortholog index to check. ENSMUSG00000022842 ENSCAFG00000012533 ]*:78:20645236:93 ]-:93:17173580
ERROR: position ortholog index to check. ENSMUSG00000022842 ENSCAFG00000012533 ]*:78:20645236:93 ]-:93:17173580
ERROR: position ortholog index to check. ENSG00000174775 ENSMUSG00000025499 [*:15:534322:11 [*:11:141192940
ERROR: position ortholog index to check. ENSG00000174775 ENSMUSG00000025499 [*:15:534322:11 [*:11:141192940
ERROR: position ortholog index to check. ENSG00000174775 ENSCAFG00000031029 [*:15:534322:5 [*:5:25644662
ERROR: position ortholog index to check. ENSG00000174775 ENSCAFG00000031029 ]*:35:532636:26 ]*:26:25643157
ERROR: position ortholog index to check. ENSMUSG00000025499 ENSCAFG00000031029 [*:11:141192940:3 [*:3:25644662
ERROR: position ortholog index to check. ENSMUSG00000025499 ENSCAFG00000031029 [*:11:141192940:3 [*:3:25644662
ERROR: position ortholog index to check. ENSMUSG00000025499 ENSCAFG00000031029 ]*:33:141191348:26 ]*:26:25643157
ERROR: position ortholog index to check. ENSCAFG00000031029 ENSMUSG00000025499 [*:3:25644662:11 [-:11:141192940
ERROR: position ortholog index to check. ENSG00000183032 ENSMUSG00000035472 ]*:44:36680658:47 ]-:47:56713813
ERROR: position ortholog index to check. ENSG00000163512 ENSCAFG00000005491 [*:16:28340617:11 [-:11:15924726
ERROR: position ortholog index to check. ENSG00000163512 ENSCAFG00000005491 ]*:60:28324042:42 ]-:42:15946023
ERROR: position ortholog index to check. ENSG00000163512 ENSCAFG00000005491 ]*:60:28324042:42 ]-:42:15946023
ERROR: position ortholog index to check. ENSMUSG00000039285 ENSCAFG00000005491 [*:12:118047418:7 [-:7:15924726
ERROR: position ortholog index to check. ENSMUSG00000039285 ENSCAFG00000005491 ]*:44:118062126:38 ]-:38:15946023
ERROR: position ortholog index to check. ENSMUSG00000039285 ENSCAFG00000005491 ]*:44:118062126:38 ]-:38:15946023
ERROR: position ortholog index to check. ENSCAFG00000009658 ENSMUSG00000021359 ]*:35:10158491:41 ]-:41:40717115
ERROR: position ortholog index to check. ENSMUSG00000025404 ENSG00000179912 [*:24:127444311:24 [-:24:57310428
ERROR: position ortholog index to check. ENSMUSG00000025404 ENSG00000179912 ]*:122:127498709:126 ]-:126:57254773
ERROR: position ortholog index to check. ENSG00000179912 ENSCAFG00000000215 [*:20:57310428:5 [-:5:1423741
ERROR: position ortholog index to check. ENSCAFG00000000215 ENSG00000179912 ]*:112:1380411:126 ]-:126:57254773
ERROR: position ortholog index to check. ENSMUSG00000025404 ENSCAFG00000000215 [*:22:127444311:3 [-:3:1423741
ERROR: position ortholog index to check. ENSMUSG00000025404 ENSCAFG00000000215 ]*:124:127498709:110 ]-:110:1380411
ERROR: position ortholog index to check. ENSCAFG00000000215 ENSMUSG00000025404 ]*:110:1380411:124 ]-:124:127498709
ERROR: position ortholog index to check. ENSG00000114861 ENSMUSG00000030067 [*:47:71198381:32 [-:32:99163018
ERROR: position ortholog index to check. ENSG00000114861 ENSMUSG00000030067 ]*:140:70959247:117 ]-:117:98930090
ERROR: position ortholog index to check. ENSMUSG00000030067 ENSG00000114861 [*:32:99163018:47 [-:47:71198381
ERROR: position ortholog index to check. ENSMUSG00000030067 ENSG00000114861 ]*:117:98930090:140 ]-:140:70959247
ERROR: position ortholog index to check. ENSG00000114861 ENSCAFG00000006461 [*:45:71198381:9 [-:9:20788444
ERROR: position ortholog index to check. ENSG00000114861 ENSCAFG00000006461 ]*:136:70959247:95 ]-:95:21015865
ERROR: position ortholog index to check. ENSG00000114861 ENSCAFG00000006461 ]*:136:70959247:95 ]-:95:21015865
ERROR: position ortholog index to check. ENSCAFG00000006461 ENSG00000114861 [*:9:20788444:45 [-:45:71198381
ERROR: position ortholog index to check. ENSMUSG00000030067 ENSCAFG00000006461 ]*:109:98930090:91 ]-:91:21015865
ERROR: position ortholog index to check. ENSMUSG00000030067 ENSCAFG00000006461 ]*:109:98930090:91 ]-:91:21015865
ERROR: position ortholog index to check. ENSCAFG00000006461 ENSMUSG00000030067 [*:7:20788444:24 [-:24:99163018
ERROR: position ortholog index to check. ENSCAFG00000006461 ENSMUSG00000030067 ]*:91:21015865:109 ]-:109:98930090
ERROR: position ortholog index to check. ENSG00000101096 ENSMUSG00000027544 [*:3:51562629:5 [-:5:168601538
ERROR: position ortholog index to check. ENSG00000101096 ENSMUSG00000027544 [*:9:51542499:14 [-:14:168590191
ERROR: position ortholog index to check. ENSG00000101096 ENSMUSG00000027544 [*:17:51523583:23 [-:23:168571100
ERROR: position ortholog index to check. ENSCAFG00000011625 ENSMUSG00000027544 ]*:51:37618450:69 ]-:69:168486728
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSG00000174516 [*:11:4941911:15 [-:15:66468129
ERROR: position ortholog index to check. ENSMUSG00000024901 ENSG00000174516 ]*:41:4932298:45 ]-:45:66476167
ERROR: position ortholog index to check. ENSG00000174516 ENSCAFG00000012682 [*:13:66468129:1 [-:1:50879826
ERROR: position ortholog index to check. ENSG00000174516 ENSCAFG00000012682 [*:13:66468129:1 [-:1:50879826
